TITLES,REVIEW,COMMENTS,TIME
LG 스타일러(S5BBP) 후기,"LG 오브제 스타일러 5구 후기입니다.제가 구매한 엘지 오브제 스타일러는 스팀과 바지 칼주름 기능이 포함된 가전이에요.처음에 가전을 구매하려가서 많은 스타일러들을 비교해봤었는데요.거울도어를 가진 스타일러와 끝까지 고민하였으나, 결국 다른 가전들과 색상을 맞춰서 베이지로 구매했어요.거울도어의 경우 사용하다보면 지문이 많이 묻어서 지저분해 보일 수 있다고 하더라고요.​","[['스타일러 고민중인데 알려주셔서 감사합니당ㅎㅎ'], ['스타일러 옷관리도 좋지먀 제습기기능도되서 여름에 한번씩 방에 돌려주면 좋아요ㅎㅎ'], ['스타일러… 저도 꼭 사고싶은 품목이예요!! 부럽습니다 ㅎㅎ'], ['스타일러 호텔에서 써 보았는데, 쓰는 이유가 다 있더라구요~ 현실에서는 꼭 사고 싶은 품목입니다!!!'], ['미세먼지도 심해서 스타일러 넘 좋은거 같아요~! 잘 구매하셨네용'], ['스타일러 저도 갖고픈데~ 넘 이쁘네욥 ㅠㅎㅎ'], ['스타일러가 칼각이라면서요 넘 갖고파여']]",2022.08.20. 21:10
스타일러 - 실내제습,오늘 같이 꿉꿉한날엔 스타일러에 제습기능으로 습기제거해 주고 있어요~,"[['실내제습 좋네요^^ 그건 그냥 문 열어놓고 돌리면 되나요?제습능력은 좋을까요?급 땡기네요^^'], ['네~\n드레스룸 문들 다 열어 놓고 \n스타일러문 열어서 돌리니~\n물버림통에 물이 가득 차네요~\n\n'], ['와우^^ 좋으네요^^'], ['저도 올여름에 에어드레서로 방안습기 많이 잡는데 도움이 되었어요\n\n참 살기좋은 시대에요 요즘 ㅎㅎ'], [''], ['원래 있는 기능인가요? 아님 신형에 있는 건가요?구입한지 2년 됐는데...모르고 있네요 ㅠㅠ'], ['저희는 구입한지 4년 됐어요~\n맞춤건조 쪽 찾아보셔요'], ['네...감사합니다.'], ['저도 진짜 유용하게 써요'], [''], ['덕분에 저도 스타일러제습 돌리네요~~~\n향기도 나고 좋네요^^'], [''], ['참 유용한 스타일러~^^'], [''], ['저도 스타일러기능보다제습으로 올여름 잘썼어요^^'], ['']]",2022.08.23. 13:10
나눔 완료) 디올 브로우 스타일러 (눈썹펜슬) 새상품,디올 브로우 스타일러 001호 미개봉 새상품입니다.받고싶으신/필요하신 이유를 적어주시면 저희 아이에게 댓글 읽어보고 뽑아보라고 할게요 ㅎ착불택배로 보내드려요 😀​,"[['나눔 응원드랴용ㅎㅎ'], ['미용학원다니는 딸이 눈썹그릴때필요해요'], ['딱  떨어져서 사야하는데  ㅎㅎ🙋\u200d♀️🙋\u200d♀️🙋\u200d♀️손들어봅\n니다~~'], ['눈썹 꼬리가 없어서... 🙄\n저 브로우가 제 꼬리 만들어줄까 싶어서요 ㅋㅋㅋㅋ'], ['응원해요'], ['예뻐지고싶어요~~^^*'], ['디올이한번써보고싶어용👍👍'], ['저요! 제가쓰는것마다 다 단종되서 이번에도 어디껄사야되나 고민중인데 마침 나눔한다해서 손들어봅니다!ㅜㅇㅜ'], ['눈썹의 2/3정도 끝이 없어서 항상 브로우를 그려야해서 신청해봅니다ㅎ\n'], ['모나리자 눈썹인데 예뻐지고 싶어요🤭🤭🤭'], ['매번 쓱쓱  그려줘야 하는 제 눈썹에 써보고 싶어용ㅎㅎ'], ['저도 살짝 손들어봐요!'], ['디올 브로우 써보고싶어요~~~😊'], ['눈썹 문신한거 거의 희미해져서 신청해봐요!'], ['금손 빵님 🧡\n모나리자 안녕 하는 멋진 나눔입니다!!\n이쁜 나눔 응원 많이 많이 드려요🧡🧡'], ['저 눈썹이 다 빠져서…….아들이 루브르 미술관에서 봤다고 놀리는데!!  받을 수 있을까요??? \U0001f979'], ['멋진 나눔 응원합니다\U0001faf6\U0001faf6\U0001faf6'], ['줄사봐용!̆̈ !̆̈ ◡̈'], ['저는 깍아쓰는거 쓰고 있어서 돌려쓰는거 한번 써보고 싶습니다앙~~~!!!!❤️❤️❤️'], ['눈썹이 그리면 너무 빨리 지워져용 디올브로우로 그려보고싶어용 ㅠㅠ'], ['나눔 멋잇으시네영 ㅎ.ㅎ\n디올꺼 한번도 안써봤는데 조심스럽게 손들어봅니다 ^^ \n'], ['사랑나눔 응원드려요.❤️'], ['요새 쌩얼로 가게출근중인데 눈만있는 제 얼굴에 디오리 예쁜눈썹하나 가지고싶습니다..손들어봐용'], ['눈썹 그릴 줄 모르니 화장품 아무거나 써서 대충 그리고 다녔는데\n이번 기회에 좋은 제품으로 눈썹 그리는 연습해서 예쁜 눈썹 갖고 싶어용☺️❣️'], ['예쁜 나눔 응원합니다❣'], ['저능 모나리자입니다♡♡♡ 펜슬없인 어디도 갈수없어용~~꼭 받고싶어용♡'], ['당첨! 챗 드릴게용 :D'], ['곧 개학인데 방학동안 살찐 선생님이라 속상하네요 ㅎㅎ 요고로 이쁘게 화장이라도 하고 2학기 아이들 만나고 싶어용~~'], ['손들어요~~~\n눈썹은 꼭 그리고 출근해야해서요~~~\n마스크로 커버안되는 사각지대ㅋ'], ['댓글 주신 분들 감사합니다 :D 저희 아이가 <햇살좋은날> 님의 댓글을 뽑았어요! 다음번에 또 나눔 해볼게요 :)']]",2022.08.25. 16:40
Lg 스타일러 모델명 : s3wfs 후기올려료,제품명 : 스타일러제조사 : LG모델명 : s3wfs​안녕하세요 스타일러 후기 올려볼려고 해요 ㅎ,"[['스타일러 좋아보이네여: 저도 무조건 구매 물품인데 ㅋ'], ['저도 신혼집에 스타일러(에어드레서) 두는 게 로망이었는데 친구들이 먼저 결혼선물로 스타일러 같은 거 어떠냐면서 선물해준다고 해서 넘 고맙고 행복해요~ 삼성 에어드레서 생각 중이었는데 쓰니님 후기글 보니까 스타일러도 좋아보여서 고민되네요..'], ['스타일러 확실히 좋은거같아요! 저도 구매목록중 하나에요~'], ['에어드레서랑 스타일러랑 무한 고민중ㅠㅠㅋㅋㅋㅋ글보니 스타일러도 넘넘 좋아보여요'], ['우와 주름까지 잡을 수있다니 ㅎㅎ 편리하네요 ㅎㅎ'], ['저도 스타일러 구매했는데 좋더라구요.요즘은 장마철이라 제습기로 쓰고 있습니다 ㅋㅋ'], ['저도 스타일러사용중인데 너무 좋아요! 필수템!'], ['스타일러가 글케 좋다고 하던데 부럽습니다!'], ['저도 3벌용으로 사야겠네용 좋을거같아여'], ['저도 스타일러 샀는데 아직 한 번도 안 써봤네요 ㅎㅎ 내일 제습기능 써봐야겠아요']]",2022.08.18. 01:00
LG 전자 오브제 스타일러 S5GFO 사용후기,"요즘 필수 가전으로 많이 언급되는 스타일러. 살지 말지 고민하는 분들 많으실텐데요, 저도 구매하기전에 고민했었는데 1년 가까이 아주 유용하게 사용하고 있어요.","[['저도 올해말에 큰집으로 이사하면 꼭 스타일러 사려구요~~!!  넘 갖고싶어요 :)'], ['스타일러는 꼭 사야겠군요!'], ['저도 오브제 스타일러 샀어요ㅎㅎ 너무 편하고 좋으네요'], ['그와중에 인형은 왜케 귀엽나요?ㅎㅎㅎ'], ['오브제 스타일러 사고싶어서 후기찾아보는중이였는뎅, 좋네요ㅠㅠ'], ['스타일러 진짜 한번 써보고싶어요'], ['와ㅠㅠ저도 고민하다가 샀는데 엄청 유용하네요!!']]",2022.08.17. 14:52
LG전자 스타일러(S5ROC) 후기입니다.,"솔직히 저는 스타일러를 왜 사야하는지 모르는 사람 중의 한명이었습니다. 아니 그냥 옷은 빨거나 햇빛에 말리면 되지 뭐하러 굳이 스타일러를 사는거지 ?? 라고 생각했었는데요. 배우자의 강력한 주장으로 스타일러를 사고 난 후에 제 생각을 바꾸게 되었습니다. 왜 이렇게 편한걸 이제야 샀지 ?? 라구요.​스타일러를 언제 쓰지 라고 생각했는데 생각보다 쓸 경우가 자주 생기더라구요. 결혼식에 입었던 양복, 한복은 당연하고 조금 여러번 입었던 옷이라든지 관리가 필요한 옷들은 스타일러로 직행해서 깔끔하게 관리할 수 있었습니다.​제일 먼저 저희가 겨울에 입던 롱패딩을 한번 돌려봤었는데요. 드라이를 하지 않았는데도 뽀송뽀송 새 옷마냥 잘 관리가 된 것을 확인할 수 있었습니다. 스타일러의 원리가 고속으로 흔들면서 옷에 묻은 먼지를 털어주고 고온의 스팀으로 살균 및 옷의 관리를 해준다고 하던데 어떤 느낌인지 바로 알 수 있었습니다.​그 이후에는 양복, 원피스, 실크 소재의 한복 등 다양한 옷들을 다 넣어서 돌려봤는데 정말 좋더라구요. 냄새가 나던 옷들도 뽀송뽀송해지고 구겨졌던 옷에 다림질도 잘 되는걸 보고 잘 샀다고 다시 한 번 생각하게 되었습니다.​스타일러를 밤에 돌리면 절대 안된다고 하던데 생각보다 소음도 별로 없어서 참 좋았습니다. 스타일러 정말 사길 잘했어요.​","[['오 스타일러 소음이 별로없나보네요 ㅎㅎ'], ['스타일러 짱짱하네요'], ['http://m.site.naver.com/0XP78""다리미질 No!, 전기세 걱정 No!핫아이템 줍줍하세요""'], ['스타일러 고민 중인데 ㅠ 괜찮다는 후기 보니까 더더 사고싶네요 ㅎ'], ['저도 스타일러를 안써봐서 엄청 고민했는데 다들 쓰시는 분들이 좋다고 하는 걸 보고 고민중입니다!'], ['저도 사서 쓰는데 이거 안샀음 어쩔까 싶었죠 ㅋㅋ'], ['스타일러 한번도 안써봐서 모르겠는데! 엄청 좋은가 보네요ㅎㅎㅎ참고할게요'], ['오 생각보다 스타일러 소음이 안심한가보네요']]",2022.07.29. 08:54
LG 스타일러(S5GF0) 사용 후기 :),"LG 스타일러 S5GF0모델 사용 후기남겨보아요요즘 제가 제일 구매하기 잘했다고 생각하는 제품이에요!정말 가지고 싶기도 했고, 요즘 위생살균이 정말 중요한 터라 생각하고 구매 해보았어요!안에 옷걸이도 태에 맞게 둥근 옷걸이로 구비되어있고, 황사나 미세먼지도 제거 가능하다 하고 옷별로 맞춤 서비스가 되더라구요저는 이제 다가오는 가을에 앞서 입을 니트들을 따로 돌려 보려고 해요또, 더 추워지면 패딩을 입어야하는데 패딩 세탁소에 맡겨도 좋지만 세탁소 가기 번거로울 경우 대비해서 스타일러 이용해서 돌려보려구요 ㅋㅋㅋㅋ이미 여러 옷을 돌려보았는데 확실히 옷이 뽀송뽀송하고 냄새가 너무 좋아요가끔 알림이 울리면 물을 빼줘야 하는 귀찮음이 있지만 그래도 사길 너무 잘했고 강력 추천해요 !예를들어 고깃집 갔을때도 이제는 전혀 걱정없이 먹고 집에와서 바로 돌리는 습관이 생겼어요 ㅎㅎ 옷이 너무 뽀송해서 좋습니다​","[['스타일러 너무 좋아욯ㅎㅎ 날씨가 추워지면 더 잘쓰는거 같아요!'], ['스타일러 저도 갖고싶은데~ 넘 좋아보여요ㅠㅎㅎ!!'], ['스타일러 쓰니까 정말 옷 관리하는게 간편해진것 같아요 ㅎㅎ'], ['스타일러 후기 잘보고갑니다 !'], ['스타일러 사려다가 안샀는데 엄청 좋아보이네요 ㅠㅠ']]",2022.08.31. 15:09
가전을 옮기고 싶어요ㅠㅠㅠ (스타일러),거실에 스타일러가 자리차지하고 있어요...​넘 답답해서 ㅜㅜ방이나 김냉자리로 옮기고 싶은데 ​비용이나 업체?? 아시는분 계신가요!!?​애기 짐까지 있어서 거실이 더 쫍아 보여요....​,"[['바닥에 도톰한 매트깔고 남편분이랑 옮기면 쉬워요 스타일러가 바닥이 좁아서 혼자옮기시면 쓰러질거 같아서 혼자 하시라고는 말못하겠네요 저는 쇼파 장농 서랍장 장식장 전부 혼자 옮기면서 살아서 ㅎㅎㅎ'], ['222 맞아유~ 얇은패드같은거 밑에 넣어서 끌고다니면 여기저기 잘 끌고댕길수있어요! 한번씩 전 가구들 요런식으로 움직어용, 얼마전엔 아이 장농도 옮겼답니당,'], ['넵 아주 힘없는사람 아님 요령으로 충분히 가능해요 ㅎㅎ'], ['저희도 남편이 혼자 옮겼어요 잘알아보세요'], ['남자힘이면 충분히 가능하고 옆에서 넘어지는것만 잡아주면 될거에요 그쵸?ㅎㅎ'], ['한쪽 들며 이불같은거 깔고 쓱 끌면 이동하기쉬워요 사람부름 기본 5만원부터  들고 이사가는집있음 끝나고 수고비드리고  잠깐해달라하셔보세요  그게 쌀듯요'], ['이사가는 집 있으시면 수레만 빌리셔서\n아래 이불깔고 수레에 올려서 잡고 옮기시면 돼요ㅎ 저희도 그렇게 옮겼어요~'], ['답글 감사합니다 남편이랑 도전해볼게여 🥲❤️❤️❤️❤️❤️ 감사합니다 !!!!!!!']]",2022.08.29. 10:08
오브제 스타일러 5구 입니다,"워시타워랑 함께 데려온 저희 드레스룸에 고가 친구인 오브제 스타일러 5구입니다.(fq18dcdbb2)) 결혼 전 부모님이랑 함께살때 이친구가 왜이렇게 사고 싶었던지.. 그래서 결혼시 혼수로 꼭 데려왔습니다. 비록.. 사용은 한 번밖에 안했지만 그래도 종종 많이 사용하려고 합니다사용전에 하단에 물을 반드시 채우고 하셔야 합니다. 이 스타일러를 처음 사용할때는 평소 물을 넣는것보다 많이 넣어주셔야한다고 합니다. 그 다음은 원래양대로 넣으셔도 된다고 합니다. 또한, 안에 들어있는 거름망? 필터망에 먼지가 쌓일 수 있으니 꺼내서 물청소 필요하다고 합니다. 또한, 밑에는 스타일러 악세서리를 보관할 수 있는 보관함도 있으니 그 안에다 보관하시면 좋을 것 같습니다.앞면은 강화유리?로 되어있으나 옆면은 기스에 약할 수 있다고 하니 되도록이면 옆에 기스나지 않도록 하는것이..(기스나면 맴찢이지 머에요ㅜㅜ)이친구가 이젠 제습기능도 있다고 해요 날이 습한 날 방에 틀어놓으면 너무 좋을 거 같아요 제습기용도로도 사용할 수 있어 좋네요스타일러 옷걸이 대신 다른걸로 사용할 경우 옷감이 늘어날수도 있다고 하니 되도록이면 스타일러에 딸려있는 옷걸이를 사용하시는 걸 권장드립니다(다른 옷걸이일경우 옷이 흘러내려오며 늘어날 수 있다고 합니다)​요즘은 스타일러 넣고 향기도 날 수 있게끔 향기시트도 잘 되어 있다고 하니 하나 구입해야 겠어요!","[['저희 언니네도 이거있는데 탐나더라구요 ㅋㅋㅋㅋㅋㅋ'], ['스타일러는 진짜 혁신이에요ㅠㅠ 벌수도 많을수록 이득!'], ['우와 좋은거사셨네요 부럽습니당ㅎㅎ'], ['와 저도 이거 눈팅중인데 비싸더라구여 ㅠㅠ'], ['스타일러는 사야죠ㅜㅜ저희도 계획중이에요'], ['스타일러 진짜 꼭 살거예여 ㅠ ㅠ'], ['오브제가 확실히 예쁘긴하네요 저흰 칙칙 회색인데 ㅜㅜ'], ['스타일러도 겨울에 정말 유용한것같아요ㅎㅎ 축하드립니다!'], ['저희도 오브제 베이지색5구 샀는데 인테리어로도 넘이쁘도 여름엔 제습기능도 좋고 세탁하기어려운 옷들 특히겨울에도 좋아서 만족중이에용!']]",2022.07.19. 21:33
스타일러위치,집 매매 후 전 붙박이에 아예 짜서 넣으려고 했는데 붙박이는 평생 쓰지만 스타일러는 중간에 바꾸거나 버리면 붙박이를 다시 짜야 한다고 그냥 밖으로 빼서 따로 놓는게 어떠냐는데.. 뭐가 현명할까요?,"[['가전은 한번 구입하면 최소 5년 이상은 사용 할뗀데 그 이후까지 고민 할 필요는 없을 듯 해요.현재 가장 본인이 하고 싶은 디자인으로 하시는 게 좋습니다.'], ['저는 주방장 맨끝에 배치했어요\n동선이 현관,  욕실, 주방겸 거실 지나서 방이거든요\n자꾸 잊어서 들어올때 딱 돌릴려구요 \n색도 맞아떨어지구요\n\n아직 공사중이라 지저분해서 옆은 칠했어요 ^^ \n\n지금보니\n저는, 나중 생각을 못했네요 아코..ㅎ'], ['냉장고, 세탁기 같은 가전은 크기가 많이 변하진않는것같아요ㅎㅎ 근데 스타일러는 뒷공간에 열발생안하나요? 열발생없으연 장에 짜넣구 있으면 꺼내쓰는게 좋을것같아요ㅎㅎ'], ['요즘 스타일러도 필수라 없는집 없어서 장짜도 깔끔하고 좋은거 같아요'], ['오브제까지도 나오는데... 없어지짐 않을거같고, 없어져도 그냥 문 달아서 긴 옷 넣게 설치 가능할거예요. 나중엔 그렇게 쓰면 되죠 ㅎㅎ \n\n저 아는 사람은 3인용 짜서 넣었어요. 깔끔하더라구요']]",2022.08.28. 07:42
