No.,채널,날짜,작성자,제목,URL,세대
1,인스티즈3,20210126,,"우리가 개인 텀블러 가져와서 물먹거든? 
근데 매일 마감 때 식기 세척기 돌리다보니까 언...",http://www.instiz.net/name/41093761?category=1,10대
2,인스티즈3,20210126,,하지만 지금 내 자취방엔 행거 하나 둘 자리도 없지ㅠ,http://www.instiz.net/name/41091139?category=1,10대
3,인스티즈3,20210125,,"이성 사랑방  에 게시된 글입니다 
둘 다 서울사람인데 내가 회사사정으로 대전으로 내려왔...",http://www.instiz.net/name/41071039?category=1,10대
4,인스티즈3,20210121,,아니 알바하는데 다같이 위시하는가 식기세척기 안쓰고 똑바로 워시하기로 했으면서 식시세척기 ...,http://www.instiz.net/name/40983623?category=1,10대
5,인스티즈3,20210117,,그릇 씻기는거보면 속시원,http://www.instiz.net/name/40906917?category=1,10대
6,인스티즈3,20210117,,???,http://www.instiz.net/name/40906485?category=1,10대
7,인스티즈2,20210115,,식기세척기 힘내줘,http://www.instiz.net/name_enter/76529356?&category=2,10대
8,인스티즈3,20210114,,"식기세척기 사고 
로봇청소기 사고 
안마의자 사고 
공기청정기 사고 
건조기 사고 ...",http://www.instiz.net/name/40841748?category=1,10대
9,헝그리앱,20210113,미미***,"카카오톡 이모티콘 정액제 출시로 한달 3,900원만 내면 무제한 이모티콘 쓸 수 있다고 하...",http://www.hungryapp.co.kr/bbs/bbs_view.php?pid=395593&bcode=free,10대
10,인스티즈3,20210112,,속시원해져서 스트레스풀려 ㅋㅋ,http://www.instiz.net/name/40803090?category=1,10대
11,인스티즈3,20210109,,1유형 말고 2유형... 우리학교는 2유형 많이 들어오는 편이라 이걸로 식기세척기삼.......,http://www.instiz.net/name/40746684?category=1,10대
12,인스티즈3,20210106,,텃세가 너무 심하고 내가 막내라 내 위로 제일 어린 사람이 두살 차인데 막내+신입이란 이유...,http://www.instiz.net/name/40656787?category=1,10대
13,네이트 판2,20210105,,"우리집은 누나가 내 몫까지 다 해줌 ㅇㅇ
냉장고에서 밥 꺼내고 냄비 국 끓여서 접시에 내...",https://pann.nate.com/talk/356707789,10대
14,인스티즈3,20210105,,한국에서는 내주위에 아무도 식기세척기 안쓰돈데 근데 엄청 깔끔하게 잘 되더랑,http://www.instiz.net/name/40649587?category=1,10대
15,인스티즈3,20210104,,난 에어팟 프로랑 식기세척기랑 돌돌이 대신 청소기랑 퀸 침대랑 잠옷이랑 암막커튼!!!!! ...,http://www.instiz.net/name/40623157?category=1,10대
16,인스티즈3,20210102,,혿시 단점있음 알려주랑,http://www.instiz.net/name/40590185?category=1,10대
17,인스티즈3,20210102,,난 침대랑 에어팟 프로랑 유튶 프리미엄이렁 식기세척기,http://www.instiz.net/name/40586927?category=1,10대
18,인스티즈3,20210102,,1.식 세 기 강한 발음 없이 식 세 기 2.식 섹 기 동생이 2라면서 나한테 화내는데 이...,http://www.instiz.net/name/40581025?category=1,10대
19,인스티즈3,20210101,,혼자 자취중인데 그릇이랑 컵 설거지 싫어서 사볼까 하는데 만족해??,http://www.instiz.net/name/40564457?category=1,10대
1,뉴쭉빵까페2,20210225,이름*,쓸만한가요?     ,https://cafe.naver.com/ArticleRead.nhn?clubid=18919114&userDisplay=50&boardtype=L&articleid=7345178&referrerAllArticles=false,10대
2,인스티즈3,20210219,,"식기세척기 세탁기 건조기 로봇청소기쓰니깐 집안일 할게읍다 
이제 머리감겨주는 기계만 나오...",http://www.instiz.net/name/41578468?category=1,10대
3,인스티즈2,20210218,,너무 친해서 서로 집에 자주 놀러가서 밥먹고 노는 뱀뱀과 윤도운 최영재와 심하게 싸워서 선...,http://www.instiz.net/name_enter/77206033?&category=2,10대
4,인스티즈3,20210217,,"인증은 못하지만 
다행히 좋은 부모님 만나서 금까지는 아니더라도 은으로 만든 수저정도는 ...",http://www.instiz.net/name/41547283?category=1,10대
5,인스티즈3,20210216,,나 너무 사고 싶은데 익들은 어떤 브랜드꺼 써?? 효과 좋아??!?!,http://www.instiz.net/name/41528642?category=1,10대
6,리그 오브 레전드,20210215,,"식세기 사고 삶이 질이 너무 좋아짐 다른 가전 다...",https://cafe.naver.com/ArticleRead.nhn?clubid=19543191&userDisplay=50&boardtype=L&articleid=26614735&referrerAllArticles=false,10대
8,네이트 판2,20210212,,어때??? 잘써??? 전에 친구집 갔을때 걔네 집에 식기세척기가 있었는데 잘안쓴다고 그러길...,https://pann.nate.com/talk/357631397,10대
9,인스티즈3,20210209,,탈덕한 연옌 굿즈 팔면 초6~ 중2 정도 돼보이는 여자친구들이 많았고 엄마가 갖다팔라는 튀...,http://www.instiz.net/name/41368932?category=1,10대
10,인스티즈3,20210208,,"이성 사랑방  에 게시된 글입니다 
글쓴이가 지금까지 준  는  2개 입니다 (최대 5개...",http://www.instiz.net/name/41366748?category=1,10대
11,인스티즈3,20210207,,아주 잘 쓰신다...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,http://www.instiz.net/name/41333286?category=1,10대
12,네이트 판2,20210206,,"밥 전기밥솥이 해주지

빨래 세탁기가 해주지 
설거지 식기세척기 돌리지 
청소는 청...",https://pann.nate.com/talk/357500257,10대
13,인스티즈3,20210204,,요즘 이사 해야해서 집 보러 다니는데 오븐이랑 식기세척기 있는 집 있더라ㅋㅋㅋ,http://www.instiz.net/name/41283333?category=1,10대
14,인스티즈3,20210201,,4인가족!! 유용하게 쓰여??,http://www.instiz.net/name/41203842?category=1,10대
1,인스티즈3,20210325,,"미국익이고 여기는 스타벅스 리유저블 나온지 꽤 됬는데 
스타벅스 직원분이 식기세척기로 3...",http://www.instiz.net/name/42249744?category=1,10대
2,인스티즈3,20210323,,근데 씻으러가는게 너무 귀찮아악 식기세척기도 있는데 왜 사람세척기는 아직도......,http://www.instiz.net/name/42221149?category=1,10대
3,인스티즈3,20210323,,"뜨거운 음료 x, 식기세척기x, 열탕소독x",http://www.instiz.net/name/42212996?category=1,10대
4,인스티즈3,20210322,,얼마전에 아기낳은 가족이있어서 선물해줬는데 신세계래!!,http://www.instiz.net/name/42197284?category=1,10대
5,인스티즈3,20210321,,1 덮밥집 월~금 오전 11:30~1:30 시급 10000 장점:회사 밀집 구역이라 잠깐 ...,http://www.instiz.net/name/42183780?category=1,10대
6,인스티즈3,20210321,,이거..복구 가능해???ㅠㅠㅠㅠㅠ하 나 이거 아끼는건데ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,http://www.instiz.net/name/42176377?category=1,10대
7,인스티즈3,20210319,,안써봣으면 없는대로 사는데 한번 써보면 앞으로 없이는 못산다던데 ㄹㅇ??,http://www.instiz.net/name/42143170?category=1,10대
8,인스티즈3,20210316,,"이성 사랑방  에 게시된 글입니다 
이거만있어도 싸울일 없다^^",http://www.instiz.net/name/42081114?category=1,10대
