TITLES,REVIEW,COMMENTS,TIME,AGE,COMMUNITY
나플라 run 리믹스해봤음,https://www.instagram.com/tv/CUDFeq-JxRY/?utm_medium=copy_link1 of 1가사다이다이 까기 전에 넌 어서 도망가넌 튀는게 좋고 난 죽이는게 좋아제이통 이후에 이런 랩을 봤냐내 지역과 내 관계는 서로에게 자랑템플런에서 포켓몬 고까지앵그리버드에서 메타버스까지you better run better run 왜냐면 달려왔지이젠 녹음하러 대구에서 서울가지you must run 내 이름부터 슬레잖니줄게 자 십초 2 5 10 끝났지날 밟으려면 네 발이 쪼개질 걸 마치 게다신몇년 뒤면 역전 내가 본식 넌 쯔게다시슬레가 한국 먹을 때 넌 아무것도 못하죠얼라덜 같구로 공갈젖만 쪽쪽 쫄았죠네 식기 세척기는 당근에다 내 팔길왜냐면 국물부터 밥그릇까지 전부 내차지,[],20210921,10대,힙합엘이
식기세척기 사려고 하는데 뭐가 좋아??,100만원 이하면 좋겠고.. 애벌설거지 안해도 되면 좋겠엉 •••,[],20210921,10대,인스티즈
하이마트 매장방문하면 물건 더 싸게 살 수 있나??,식기세척기 사려는데 하이마트 온라인도 좀 비싸다.. •••,[],20210914,10대,인스티즈
우리집 겹겹사 🥳🥳🥳,먼저 나 결혼전에 언니가 임신 했었은데유산을 했었음그 후에 내가 결혼하고 허니문 베이비가 생겨서지금 7개월차인데언니 저번주에 임신 확인 받음 🥳🥳🥳시험관 계속 실패해서 고생했는데임신 축하 선물로 식기세척기 사줘야징 🎉우리 엄마는 육개월 차이로 먼저 손녀가 생기고다음은 손자인지 손녀인지는 아직 모르지만씬이 나심 ㅋㅋㅋㅋㅋㅋㅋㅋ언니한테 내가 둘째지만 내딸이 첫째다!!!! 했더니언니가 아씨..... 하다가야! 씅질머리는 어디 안간다 해서내 딸이 지지않게 운동 시켜야겠뚬 !!! •••,"['헉 넘 축하해!!!!!!!!', '고마웡 😘😘😘']",20210913,10대,인스티즈
식기세척기 쓰는 익들아 좋아???,추천하닝 ??? 추천한다면 어디거가 좋아?? •••,"['엘지 오브제 쓰는데 좋음', '오 고마오', '대가족이야???? ', '4인가족이야ㅜ!!! 불편해 오히려??', '아 4인이면 좋지!!! 둘이 먹어봤자 밥그릇 국그릇 반찬 숟가락 몇개 밖에 안되니까 ㅋㅋ 4인이면 식세기이모님 들여야지 나는 삼성 비스포크 쓴다 요새 다 좋게 들어와서 맘에드는거 사', '헐 고마워 익아 !!!!']",20210908,10대,인스티즈
식기세척기 쓸때 컵 똑바로 놓으면 안돼?????,뒤집어놔야돼????? •••,['우린 항상 뒤집어'],20210904,10대,인스티즈
혹시 집에 식기세척기 있는사람???,나 한번도 안써봤는데진짜 밥먹고 설거지 아예 안하고 그냥 식기세척기에 넣기만하면기름때랑 밥풀마른거까지 다 떼어져?? •••,['그냥 물로 다 씻고 세척기에 넣고 돌린다고 생각하면 돼 밥풀 고춧가루 ㅇ런거 다 닼ㄱ아야함 세제만 안쓰고 닦는느낌'],20210902,10대,인스티즈
아 엄마 생일 선물로 엄청 싸웠는데 어떡해야될까ㅠ,나는 이제 일한지 6개월정도 됐고 프리랜서라 수입이 일정치가 않은데 보통 월 180~220정도 되거든 근데 엄마가 식기세척기를 사달라고 하시는데 그게 백만원이 좀 넘더라고 근데 내가 선물로 한 50만원대까지 생각했어서.... 지금 돈을 많이 버는 것도 아니고 일 한지도 오래 안됐는데 무슨 벌써 그런걸 얘기하냐 나중에 해주겠다 했는데 엄마는 그럼 사게 80이라도 보태달라고 하시더라고 근데 난 그냥 돈 보내주는것보단 현금이든 뭐든 선물 느낌 나게 딱 드리고 싶어서.. 식기세척기는 그냥 나중에 사면 안되냐했거든 엄마는 이제껏 키워놨는데 그 정도도 못해주냐 나도 빌어서 받기 싫다 안 받는다 vs 난 사회초년생인데 나한테 좀 무리한 요구 아닌가 싶어서 서로 개서운한 상태...ㅠ 정 원하니까 해줄 생각이긴한데 솔직히 내 입장에선 엄마한테 약간 서운해.. 보통은 해준대도 됐다고 하던데 •••,"['80은 좀 쎈데... 적금 들고 있을 수도 있는 거 고려하면 당장 현금 80을 어떻게 구해 ㅋㅋ,, 비상금 200 정도 따로 챙겨둔 거면 몰라.', '뭐 할부로 사서 매 달 얼마, 이러면 말이 되는데 80 보태 이러는 건 아니지', '익인 지금 있어? 식세기 샀어?', '엉 아빠가 돈 보태줘섴ㅋㅋㅋㅋㅋ 현금 줬어']",20211028,10대,인스티즈
아 걍 요약하면 여혐하고 싶어서,자기가 자기보고 식기세척기라고 부르고 있는 거 아님? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 별 •••,"['😩🧼🧼', 'ㄴㄴ식기세척기도 비싼건데']",20211024,10대,인스티즈
나 공대생인데 그럼 나는 '식기세척기' 인가?,아니 설거지론에 따르면 30살에는 여친 생기는거 맞지??,"[['퐁퐁단ㅎㅇ'], ['ㄷㄷ 몇명이나 닦으려고…']]",20211024,10대,네이버카페
아니 집에 나밖에 없는데 엄마가 식기세척기 돌리고 나가서 누구 있는줄,씻는데 소음 개무서워 •••,[],20211018,10대,인스티즈
집에 식기세척기있는 익들아!,유용하게 써?? 괜찮으면 취업하고 엄마 사드리게..! •••,[],20211016,10대,인스티즈
미국은 스튜디오(원룸)에도 식기세척기는 꼭 빌트인 되어있는거 한국에 하루빨리 도입됐으면 좋겠다,세탁기랑 건조기도 왠만하면 다 집안에 기본옵션으로 구비돼있고 없어도 건물 안에 공용세탁기건조기는 다 갖춰져있는거 같음화장실도 한국처럼 엄청 좁은곳에 작은사이즈 세면대랑 변기 붙여놓는게 아니라 샤워하는 공간도 무조건 따로 만들어놓던데 한국도 이렇게 좀 만들어줬으면ㅠㅠ •••,[],20211013,10대,인스티즈
식기세척기 샀어,하울(구매자랑)  에 게시된 글입니다 l 설정하기설거지 너무 싫어서...할부로 샀어진짜 스트레스 확 내려간다자취3대악설거지 분리수거 빨래추천  •••,"['아 너무 궁금한데 사진이 안뜬다ㅜㅜ', '요즘 핫한 아이템이지 세탁기와 버금가는 식세기,로봇청소기,건조기', 'ㅇㅈ ...가귀찬', '잘해따', '친구가 있어도 잘 안쓴다해서 미뤘는데 무슨..', '저 모델 쓰는데 우린 8인용인가? 2인이서 쓰기 좋았다!! 근데 애벌설거지는 해야한대', '오노...애벌이라니... 물로 한번 헹구고 넣으먄 될까???! ㅠㅠㅠㅠ', '내가 안 하고 남자친구가 해서 잘 모르겠는데 본설거지만큼의 애벌설거지 해야한다던데..', '....뭐..?! 그럼 의미없자나 헝 ㅠ', '그냥 뜨거운 물이나 물로 한번 헹구고 넣어! 예를 들어서 그릇에 마른 밥풀이나 고춧가루 그런거 있잖아! 그런건 걍 뜨거운물로 쓱 헹구고 넣어!', '설거지 너무싫어서 그것만하면 땡큐입니다ㅠㅠ♡♡']",20211012,10대,인스티즈
식기세척기vs김치보관용 김치냉장고,아 월급기념으로 식세기 사줄랬는데 엄마가 김치좋다고 김치냉장고 사달래... 아니 식세기가 장기적으로 더 좋지 않아? •••,['나도 2가 더 필요해서 222...'],20211011,10대,인스티즈
식기세척기 사면 건조기처럼 삶의 질이 달라져?,부모님 사드릴까 하는데식기세척기 넣기 전에 대강 씻어내느라 일을 두배로 한다는 말도 있어가지고 •••,['엉ㅜㅜ 대강 씻는게 막 수세미로 한번 닦고 이런게 아니라 밥 먹으면 싱크대에 밥그릇 물넣어 놓듯 그렇게 물로 한번 헹구고 넣으면 됨..'],20211009,10대,인스티즈
우리 언니 결혼하는데 친척이 잘 살아서 처음으로 좋았어ㅋㅋㅋㅋㅋㅋ,"외삼촌 세분이 다 굵직한 사업체 운영하시는데언니 냉장고, 세탁기, 건조기, 스타일러, 식기세척기, 티비 사주신대이모 두분은 에어컨 모아서 사주시기로 함….와 역시 잘살고 봐야 돼….우리 아빠 장가잘가서 돈 굳음 •••",[],20211006,10대,인스티즈
식기세척기 사용하는 익들 있어?,밥 먹고 밥그릇 잘 닦여?꼭 애벌 해야 돼? 애벌 안 하면 잔여물 남아? •••,"['잘 닦여 그냥 물로 한 번 씻궈서 넣어주면 좋긴 한데 안 해도 됨', '근데 식세기 쓰는 날 보다 안 쓰는 날이 더 많다는거 ..']",20211001,10대,인스티즈
취뽀 기념 부모님 집 선물 골라주라,냉장고vs식기세척기vs세탁기vs김치냉장고가격 생각 말고 젤 갖고 싶으신 게 뭘까? •••,"['식기세척기', '다 없는거야??', '아니아니 다 있는데 좀 오래 돼서 바꾸고 싶어서ㅜㅜ', '니ㅐㅇ장고', '오래된 거면 냉장고나 세탁기!', '특히 이번에 세탁기 건조기랑 같이 있는 거 샀는데 개조아']",20211129,10대,인스티즈
우리집을 소개한다,외관은 이렇고 대충 200년 쯤 됐다.옛날건물이라 물건들이 다 존나 옛날거다.,"[['러쉬아인?'], ['오스트리아다.'], ['수까블럇'], ['이디 나후이'], ['10년전에 빈 갔었는데 오스트리아도 좋았지,,']]",20211126,10대,네이버카페
아 ㅋㅋㅋ 우리 집 전세 내놨는데,들어온 사람 진짜 짜증 난당 ㅎ 자기 집도 아니면서 왜 집 자꾸 건드려고 함 식기세척기 하는 거 안 된다고 몇 번이나 말했냐 ㅋㅋㅋ 부동산에서도 마음대로 바꿔 놓으면 안 된다고 계약 거기도 적혀 있다고 안 된다고 하드만 •••,"['생각보다 집 막 쓰는 세입자들 많더라', '물어줘야 하는 거 아니야? ㅋㅋㅋ 안 물어줬어? 아 짜증 난다… ㅠㅠ', '안물어준거 같더라 우리 들어오기 전에 집주인분이 입주청소는 해주셨는데 못자국은 그대로 있더라구']",20211126,10대,인스티즈
키즈카페 주방 정리 알바 어때?,주방 정리하고 설거지 한다는데 식기세척기 사용한대 할만한가?...집에서 3 정류장 버스타면 되구 시급은 10464원이래 주휴수당 포함해성 근데 세금 공제 3.3% 있다는데 내가 알바 첨이라서 뭔말인지는 잘 모르겠네 •••,"['오 노.... 주방은 원래힘든데 애기들 있는곳이 더 힘들지않을까 싶음... 글고 시급이 높아서 더 의심된다 세금은 원래 떼는게 맞아', '대형 키즈카페긴 해...ㅋㅋㅋ 근데 내가 알바 경험이 없어서 다른 데는 잘 안뽑히도라고ㅠ 여긴 시급도 쎄니까 정말 헬이겠지..', '키즈카페 말고 기왕하는거 그나마 편한곳으로 가 ㅠㅠ 학원 채점조교나 전시회 알바나 병원알바, 약국 알바나 위주로 칮아봐 그런게 시급도 높고 편하다!!', 'ㅜㅠ웅웅 함 찾아봐야겠다..! 완전 고마웡']",20211121,10대,인스티즈
수능전날인데 가족이 조용하게 해야하는거 아니야?,동생 낼 수능보는데 거실에서 지금까지 tv보고 떠들고밤11시에 씻고 화장실 청소하는지 바닥 솔로 박박 닦고밤10시에 식기세척기돌리고 수능전날 조용한 분위기 만들어줘야 하는 부모가 하는 행동이란게 말이 되는 행동인지모르겠다...몇년전 재수했을때도 가뜩이나 집안 방음 하나도 안돼서새벽1시에도 방 밖이 시끄럽길래 이어플러그끼고잤는데몇년후 동생수능까지 변한게 없네 답답하다 •••,[],20211118,10대,인스티즈
마라탕집 3곳에서 알바해본 후기,깨끗함식기세척기 쓰고 설거지는 걍 한번 슥 씻는 정도만근데 꿔바로우 그릇은 개 빡빡닦어야함...찐득해서마라탕집은 더러운데가 많다는데 내가 일한곳은 다 깨끗했음설거지 힘듦 하...+매장 회전율 개빨라서 힘듦좀 더럽게 먹는 사람들 딴식당에 비해 많은듯 (국물튀기고 흘리고...)치울때 좀 고생추천은 안함ㅎ 6 •••,"['추천해?? 시급얼마야???', '힘들어 매장 회전율 개빨라', '한국인 알바생 쓰는데면 깨끗할거 같음...조선족 알바생 있는데는 진짜 높은 확률로 더럽드라...재료 코너에 항상 드론들 돌아다님ㅋㅋ', '2222 재료속에 머리카락+죽은드론...', '와 에바야..... 끔찍하다', 'ㄹㅇ 개더러움.. 재료 그 물에 죽은벌레 있는거 보고 걍 나온적 있음', '드론이 벌레야???', '날파리! 이거 모르는구낰ㅋㅋㅋㅋㅋㅋ', '아놔 이거 뭐얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭔가햇네', '마라탕은 한 솥에 육수로 야채 담궜다 익혀서 그 육수로 줘????', 'ㅇㅇㅇㅇ마져', '(본인이 직접 삭제한 댓글입니다)', '내가 일한곳은 야채 매일 아침에 새로 온 거 뜯고 통에다가 넣ㄱ음 깨끗했으', '사장 중국인이야?', '매니저분 셋다 한국인이시던데 사장은 모르겠듬', '난 마라탕집 위생문제 심하다고 해서 걱정했는데 내가 간 곳은 다 오픈 주방처럼 되어있어서 어어엄청 깨끗했거든 사장님 말투랑 일하는 사람들보면 다 조선족이긴 하던데', '나도 마라탕알바생인데 ㄹㅇ 깨끗함', '마라탕 글 올라오니깐 마라탕 먹고싶다', '22 ㅋㅋㅋㅋㅋㅋ츄베룹..', '사리 햄 추가 안햇는데 간혹 햄 하나씩 들어잇고 안시킨 수제비 사리 한개씩 들어잇고 그런경우는 뭐야..? 같이 조리하는거야?', '웍 하나에 조리해서? 웍을 계속 씻을 순 없을테니까', '그거 원래 채망에 넣어서 끓이는 곳이 있고 육수에 직접 끓이는 곳이 있는데 후자는 가끔 그런경우 있어 위생이랑은 관련없고그냥 채망부족', '맞아 생각보다 깨끗함ㅋㅋㅋ', '한국인 매니저에 알바면 깨끗할 수 밖에 없을듯', '우리 동네 마라탕 집은 사장, 알바 다 조선족인데 개더러움.. 근데 거기가 제일 맛이 괜찮아서 사람 항상 많더라.. 난 한 번 가고 안 감', '아니 근데 우리 동네 마라탕 집 사장님 다 조선족이야']",20211114,10대,인스티즈
최고급 식기세척기 퐁퐁남,ㅋㅋㅋㅋ 진짜 한심하다 이카르디..,"[['이카르디 아내관련 기사보면 이제 숨이 막힘 ㅋㅋㅋㅋㅋ'], ['하긴 시작부터 대표팀선배 여자친구랑 바람 난거도 노답이긴한데 ㅋㅋ 이카르디도 진짜 머리에 생각이란게 없는듯']]",20211114,10대,네이버카페
"설거지는 식기세척기가, 빨래는 세탁기랑 건조기가,","음식물처리는 음식물처리기가, 겉옷 깨끗하게 하는 건 스타일러가, 청소는 로봇청소기가 다 해 이렇게 편리 귯귯근데 로봇청소기는 내가 예전에 망가뜨렸는데 지금 생각해도 좀 미안함 얘한테..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 근데 어차피 로봇청소기 안 쓰는 이유가 가구나 물건에 부딪히면 그게(로봇청소기 말고) 망가질까봐 안 써서 괜찮아..😅 •••",['식기세척기 갖고싶다'],20211112,10대,인스티즈
식기세척기 세제,식기세척기 처음써보는데 세제 추천좀 해줄수있어?? 예전에 여기서 두개? 정도 봤던거같은데ㅠㅠㅠ 그 글이 사라졌네…. •••,[],20211111,10대,인스티즈
드디어 샀다ㅠㅠㅠ!!!!!!,설거지가 너무 하기싫어서 모아뒀다가 한번에 하거나밥을안먹거나 배달시켜 먹었었는데.2달동안 고민하다 질렀다 식기세척기...!!!2달동안 설거지 하기싫어서ㅜㅜ 냄비랑 조리도구들 대충 헹궈서 방치해놨는데 오면 바로 써봐야지ㅜㅜ 1 •••,[],20211110,10대,인스티즈
식기세척기 써본 익?,있니 만족도 어때.... •••,"['난 그냥 그랫어 막 내돈 들여가면서 살건 이냣음', '엄마가 설거지 너무하기싫대서 사줄까하는데...,별로야?ㅠ', '옹 난 그랫는디 빌트인이라그런가 몰겟지만...', '울엄빠 쓰시는데 만족도 왕높우셔 ㅋㅋㅋㅋ', '아그래?? 깨끗이 닦여??', '옹 대충 애벌로 헹구고 찌든거는 좀 닦아서 넣으시는데 그거만으로도 충분히 만족하신다는데..!! 두분이 본가에 계시는데 맨날 설거지 하기 싫다그러시더니 지금은 편하다고 좋아하셔']",20211106,10대,인스티즈
우리집 식기세척기 이벤트 당첨됐다!!,두근두근... 식기세척기 처음 써봐... •••,[],20211103,10대,인스티즈
