,0
0,https://cafe.naver.com/joonggonara/884997567?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo4ODQ5OTc1NjcsImlzc3VlZEF0IjoxNjU4OTcxNjA4MjE3fQ.fAh5N9SWYAGtkeg4TTNDfULdoSxyqIzw7guhjwqjPkA
1,https://cafe.naver.com/joonggonara/908803751?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo5MDg4MDM3NTEsImlzc3VlZEF0IjoxNjU4OTcyMTI1NDU2fQ.nV2Hx2U_tFFuhw4W5FtRdQLn1cfVt8IVELg3zJIy-1E
2,https://cafe.naver.com/koreassistant/2480?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImtvcmVhc3Npc3RhbnQiLCJhcnRpY2xlSWQiOjI0ODAsImlzc3VlZEF0IjoxNjU4OTcwODc2MDU0fQ.DliR6hg4JZiTPjW-GxwfT5ovFQfK46GvnKHVTj98OuQ
3,https://cafe.naver.com/joonggonara/785622055?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo3ODU2MjIwNTUsImlzc3VlZEF0IjoxNjU4OTcwODU3Mzg1fQ.xLIzZrSB1c2lYB9i5LDxhTrzyMaYrw6GLk-rFYyeQys
4,https://cafe.naver.com/wm9txnllm6/713?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6IndtOXR4bmxsbTYiLCJhcnRpY2xlSWQiOjcxMywiaXNzdWVkQXQiOjE2NTg5NzE3NzU4ODh9.EKgoMoxoSg-XNoZNWSwJQ5n9K0a9Hya4bENja6WGq70
5,https://cafe.naver.com/doitreview/2830?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRvaXRyZXZpZXciLCJhcnRpY2xlSWQiOjI4MzAsImlzc3VlZEF0IjoxNjU4OTcxOTYzODI3fQ.u5y_unO5tM6kn2Fub7SoSmp9HINy7cCZ3MBu3FZokTE
6,https://cafe.naver.com/joonggonara/748060977?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo3NDgwNjA5NzcsImlzc3VlZEF0IjoxNjU4OTcwNjQ0MzYyfQ.O9vTxmvyGGewzwyRuN02Kt2263K51K1SFtjX-JUBX34
7,https://cafe.naver.com/optimuslteuser/822221?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im9wdGltdXNsdGV1c2VyIiwiYXJ0aWNsZUlkIjo4MjIyMjEsImlzc3VlZEF0IjoxNjU4OTcwNzc5OTQ5fQ.XmwDm6ywvCrGEl8cKZ3Q2oRRrJbIfVbcxz9xYZ-5hr8
8,https://cafe.naver.com/vodowew/1340?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InZvZG93ZXciLCJhcnRpY2xlSWQiOjEzNDAsImlzc3VlZEF0IjoxNjU4OTcxOTA3MTM4fQ.BDcJMWuh3ZAjxG1A3ik3Hap42fSRF_gmpvaan8360A8
9,https://cafe.naver.com/planvc/72238?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBsYW52YyIsImFydGljbGVJZCI6NzIyMzgsImlzc3VlZEF0IjoxNjU4OTcwOTA1ODIzfQ.V3nT8XlnKs5Skx_Yab7dBWU67E13IouIhoaFzrC9d0E
