userName,date,rating,like,title,review,content,content_n,cotent_n_spell
어린왕자와여우,2022-07-25 08:45:47-07:00,1,0,초심 잃고 점점 품질 저하 되는 중,"일단 배송 기한 제대로 못 맞추고 구구절절 핑계 가득한 문자 보내면서 결국 늦게 배송 됨. 저녁 11시(변경 후 10시)까지 내다 놓으면 다음날 밤까지 완료해서 갖다주는 걸로 마케팅 했으면서 기한 못지킬 때가 비일비재함. 그걸로 광고 하지를 말던가ㅋ 그리고 반려동물 털 과다를 이유로 세탁이 반려되는 경우가 종종 있는데.. 예를들어 털이 묻은 극세사 담요는 반려시킨다고 쳐도 아예 새로 구매해서 포장 새로 뜯은 새 이불을 같이 세탁 맡겼는데 이불 여러장 통째로 반려되는건.. 이해할 수 없음. 검수가 누구에 의해 어떻게 이루어지고 있는지 몰라도.. 일관성 있게 처리 되는게 아니라 그냥 대강대강 눈대중으로 하는 거 같음… 아니 확실함. 검수자 누구인지 누적 기록 남기고, 여러번 이런 일이 발생하면 제대로 검수 안한 직원ㅅㄲ한테 패널티 있어야한다고 봄. 누가 봐도 새 이불인데 그대로 그냥 반려동물 털 과다로 묶어서 돌려보내지니까 어이가 없네. 이불 빨래만큼은 장점이라고 생각했는데 이불이 숨이 너무 죽어서 오고, 심지어 새 이불 개시 전에 맡긴 건데 이런 식으로 처리 되니까 상당히..어이 없음… 검수자가 누구인지, 세탁물 반려 할때는 통으로 퉁치지 말고 개별 세탁물을 꼼꼼히 확인하고 근거 사진 남겨주길 바람.. 계속 이런식이면 망하는 길로 가겠다는 뜻으로 알겠음 ㅎ","초심 잃고 점점 품질 저하 되는 중 일단 배송 기한 제대로 못 맞추고 구구절절 핑계 가득한 문자 보내면서 결국 늦게 배송 됨. 저녁 11시(변경 후 10시)까지 내다 놓으면 다음날 밤까지 완료해서 갖다주는 걸로 마케팅 했으면서 기한 못지킬 때가 비일비재함. 그걸로 광고 하지를 말던가ㅋ 그리고 반려동물 털 과다를 이유로 세탁이 반려되는 경우가 종종 있는데.. 예를들어 털이 묻은 극세사 담요는 반려시킨다고 쳐도 아예 새로 구매해서 포장 새로 뜯은 새 이불을 같이 세탁 맡겼는데 이불 여러장 통째로 반려되는건.. 이해할 수 없음. 검수가 누구에 의해 어떻게 이루어지고 있는지 몰라도.. 일관성 있게 처리 되는게 아니라 그냥 대강대강 눈대중으로 하는 거 같음… 아니 확실함. 검수자 누구인지 누적 기록 남기고, 여러번 이런 일이 발생하면 제대로 검수 안한 직원ㅅㄲ한테 패널티 있어야한다고 봄. 누가 봐도 새 이불인데 그대로 그냥 반려동물 털 과다로 묶어서 돌려보내지니까 어이가 없네. 이불 빨래만큼은 장점이라고 생각했는데 이불이 숨이 너무 죽어서 오고, 심지어 새 이불 개시 전에 맡긴 건데 이런 식으로 처리 되니까 상당히..어이 없음… 검수자가 누구인지, 세탁물 반려 할때는 통으로 퉁치지 말고 개별 세탁물을 꼼꼼히 확인하고 근거 사진 남겨주길 바람.. 계속 이런식이면 망하는 길로 가겠다는 뜻으로 알겠음 ㅎ","['초', '심', '점', '점', '품', '중', '단', '배', '송', '기', '못', '추', '절', '절', '핑', '계', '득', '문', '보', '내', '면', '결', '국', '늦', '게', '배', '송', '녁', '시', '변', '경', '시', '내', '다', '으', '면', '다', '음', '날', '밤', '완', '료', '해', '갖', '다', '주', '걸', '마', '케', '팅', '으', '면', '기', '못', '킬', '비', '비', '재', '함', '걸', '광', '말', '던', '리', '반', '려', '물', '털', '다', '유', '세', '탁', '반', '려', '경', '우', '종', '종', '털', '은', '세', '담', '반', '려', '시', '킨', '다', '도', '새', '해', '포', '장', '새', '은', '새', '불', '세', '탁', '불', '장', '통', '반', '려', '해', '음', '검', '누', '해', '떻', '게', '루', '도', '관', '성', '게', '처', '리', '게', '니', '냥', '강', '강', '눈', '중', '으', '음', '니', '확', '실', '함', '검', '누', '인', '누', '적', '기', '록', '남', '기', '발', '생', '면', '검', '직', '원', '패', '널', '티', '다', '봄', '누', '도', '새', '불', '인', '냥', '반', '려', '물', '털', '다', '돌', '려', '보', '내', '니', '불', '빨', '만', '은', '장', '점', '생', '불', '숨', '무', '죽', '심', '새', '불', '개', '시', '전', '식', '으', '처', '리', '니', '상', '당', '히', '음', '검', '누', '인', '세', '탁', '물', '반', '려', '통', '으', '퉁', '치', '말', '개', '별', '세', '탁', '물', '꼼', '꼼', '히', '확', '인', '진', '남', '겨', '주', '길', '바', '람', '계', '속', '식', '면', '망', '길', '다', '뜻', '으', '알', '음']","['초심 잃고 점점 품질 저하되는 중 일단 배송 기한 제대로 못 맞추고 구구절절 핑계 가득한 문자 보내면서 결국 늦게 배송 됨 저녁 시 변경 후 시까지 내다 놓으면 다음날 밤까지 완료해서 갖다 주는 걸로 마케팅했으면서 기한 못 지킬 때가 비일비재함 그걸로 광고 하지를 말던가', '그리고 반려동물 털 과다를 이유로 세탁이 반려되는 경우가 종종 있는데 예를 들어 털이 묻은 극세사 담요는 반려시킨다고 쳐도 아예 새로 구매해서 포장 새로 뜯은 새 이불을 같이 세탁 맡겼는데 이불 여러 장 통째로 반려되는 건 이해할 수 없음', '검수가 누구에 의해 어떻게 이루어지고 있는지 몰라도 일관성 있게 처리되는 게 아니라 그냥 대강대강 눈대중으로 하는 거 같음', '아니 확실함 검수자 누구인지 누적 기록 남기고 여러 번 이런 일이 발생하면 제대로 검수 안한 직원한테 패널티 있어야 한다고 봄 누가 봐도 새 이불인데 그대로 그냥 반려동물 털 과다로 묶어서 돌려보내지니까 어이가 없네', '이불 빨래만큼은 장점이라고 생각했는데 이불이 숨이 너무 죽어서 오고 심지어 새 이불 개시 전에 맡긴 건데 이런 식으로 처리되니까 상당히 어이없음', '검수자가 누구인지 세탁물 반려할 때는 통으로 퉁치지 말고 개별 세탁물을 꼼꼼히 확인하고 근거 사진 남겨주길 바람 계속 이런 식이면 망하는 길로 가겠다는 뜻으로 알겠음']"
plzlogin,2022-07-25 07:46:07-07:00,5,0,너무 편리해요,"일땜에 호텔에서 한달 숙박하는데 호텔 코인세탁기가 너무 더럽고 냄새나서 이용하게 됐는데, 빨래 건조 신경쓸 필요없이 하루만에 가져다주니까 마음이 너무 편하고 좋아요. 그리고 퇴근하고 숙소에 있는 밤시간에 가져다주시니까 낮에누가 가져가면 어떡하지 걱정할 필요도 없어서 좋습니다. 근 한달동안 계속 이용할것같아요!!! ㅎㅎ","너무 편리해요 일땜에 호텔에서 한달 숙박하는데 호텔 코인세탁기가 너무 더럽고 냄새나서 이용하게 됐는데, 빨래 건조 신경쓸 필요없이 하루만에 가져다주니까 마음이 너무 편하고 좋아요. 그리고 퇴근하고 숙소에 있는 밤시간에 가져다주시니까 낮에누가 가져가면 어떡하지 걱정할 필요도 없어서 좋습니다. 근 한달동안 계속 이용할것같아요!!! ㅎㅎ","['무', '편', '리', '해', '땜', '호', '텔', '달', '숙', '박', '호', '텔', '코', '인', '세', '탁', '기', '무', '더', '럽', '새', '게', '빨', '조', '신', '경', '필', '루', '만', '다', '주', '니', '마', '음', '무', '편', '좋다', '리', '퇴', '숙', '소', '밤', '시', '간', '다', '주', '시', '니', '낮', '누', '면', '떡', '걱', '정', '필', '도', '좋다', '습', '니', '다', '달', '계', '속']","['너무 편리해요', '일 땜에 호텔에서 한 달 숙박하는데 호텔 코인세탁기가 너무 더럽고 냄새나서 이용하게 됐는데 빨래 건조 신경 쓸 필요 없이 하루 만에 가져다주니까 마음이 너무 편하고 좋아요', '그리고 퇴근하고 숙소에 있는 밤 시간에 가져다주시니까 낮에 누가 가져가면 어떡하지 걱정할 필요도 없어서 좋습니다', '근 한 달 동안 계속 이용할 것 같아요']"
슐ㄹ,2022-07-25 06:19:29-07:00,5,0,편리한 앱,앱 사용도 간단하고 편리하게 사용할 수 있어서 좋아요!,편리한 앱 앱 사용도 간단하고 편리하게 사용할 수 있어서 좋아요!,"['편', '리', '앱', '앱', '도', '간', '단', '편', '리', '게', '좋다']",['편리한 앱 앱 사용도 간단하고 편리하게 사용할 수 있어서 좋아요']
감자간즈,2022-07-25 04:21:56-07:00,5,0,편리하고 좋습니다,요즘 여름이라 비도 많이 오고 빨래감이 많아서 수건 돌리면 옷 돌릴 시간이 없었는데 참 편리하네요,편리하고 좋습니다 요즘 여름이라 비도 많이 오고 빨래감이 많아서 수건 돌리면 옷 돌릴 시간이 없었는데 참 편리하네요,"['편', '리', '좋다', '습', '니', '다', '즘', '름', '비', '도', '많다', '빨', '랫', '감', '많다', '돌', '리', '면', '옷', '돌', '릴', '시', '간', '편', '리']","['편리하고 좋습니다', '요즘 여름이라 비도 많이 오고 빨랫감이 많아서 수건 돌리면 옷 돌릴 시간이 없었는데 참 편리하네요']"
Zhsksosjxjejdido,2022-07-25 01:55:00-07:00,5,0,앱 너무 좋아요,주말에도 수거가 되고 수선도 되고 앞으로 자주 이용할것같아요,앱 너무 좋아요 주말에도 수거가 되고 수선도 되고 앞으로 자주 이용할것같아요,"['앱', '무', '좋다', '주', '말', '도', '선', '도', '앞', '으', '주']","['앱 너무 좋아요', '주말에도 수거가 되고 수선도 되고 앞으로 자주 이용할 것 같아요']"
waaaaakn,2022-07-25 01:14:51-07:00,5,0,가격이 아깝지 않습니다.,동네 세탁소에 드라이 맡기면 기본 3-4일에 주말이 낀다고 생각하면 으으.. 당장 급하게 입어야 하는데 셀프 드라이를 하자니 무섭고 런드리고 통해 하루만에 깨끗한 옷을 받을 수 있었네요. 세탁소 왔다갔다 하는거랑 시간 아끼는거 생각하면 가성비 좋은거 같애요.!,가격이 아깝지 않습니다. 동네 세탁소에 드라이 맡기면 기본 3-4일에 주말이 낀다고 생각하면 으으.. 당장 급하게 입어야 하는데 셀프 드라이를 하자니 무섭고 런드리고 통해 하루만에 깨끗한 옷을 받을 수 있었네요. 세탁소 왔다갔다 하는거랑 시간 아끼는거 생각하면 가성비 좋은거 같애요.!,"['격', '깝', '습', '니', '다', '세', '탁', '소', '드', '기', '면', '기', '주', '말', '다', '생', '면', '으', '으', '당', '장', '급', '게', '입', '셀', '프', '드', '니', '무', '섭', '드', '리', '통', '해', '루', '만', '깨', '끗', '옷', '세', '탁', '소', '다', '다', '시', '간', '끼', '생', '면', '성', '비', '좋다', '은']","['가격이 아깝지 않습니다', '동네 세탁소에 드라이 맡기면 기본 일에 주말이 낀다고 생각하면 으으 당장 급하게 입어야 하는데 셀프 드라이를 하자니 무섭고 런드리고 통해 하루 만에 깨끗한 옷을 받을 수 있었네요', '세탁소 왔다 갔다 하는 거랑 시간 아끼는 거 생각하면 구성비 좋은 거 같아요']"
ㅡㅡㅋ하,2022-07-25 00:32:42-07:00,5,0,아직 도착전이지만 너무 간편해요 과정이,첫이용 도착 전인데 간편 가격은 좀 있는듯,아직 도착전이지만 너무 간편해요 과정이 첫이용 도착 전인데 간편 가격은 좀 있는듯,"['직', '도', '착', '전', '만', '무', '간', '편', '해', '정', '첫', '도', '착', '전', '인', '간', '편', '격', '은']","['아직 도착 전이지만 너무 간편해요', '과정이 첫 이용 도착 전인데 간편 가격은 좀 있는 듯']"
thdllove,2022-07-25 00:06:58-07:00,5,0,빠르고 편리해요,"수거와 세탁까지 비대면으로
빠르고 편리해서 자주 이용하게 됩니다
앞으로 더 번창하세요!","빠르고 편리해요 수거와 세탁까지 비대면으로
빠르고 편리해서 자주 이용하게 됩니다
앞으로 더 번창하세요!","['빠', '르', '편', '리', '해', '세', '탁', '비', '면', '으', '빠', '르', '편', '리', '해', '주', '게', '니', '다', '앞', '으', '더', '창', '세']","['빠르고 편리해요', '수거와 세탁까지 비대면으로 빠르고 편리해서 자주 이용하게 됩니다', '앞으로 더 번창하세요']"
또렷한 혁신,2022-07-24 22:38:31-07:00,5,0,귀찮은 빨래 믿고 맡길수 있는것 같아요,런드리고라는 좋은 서비스 덕에 신발 세탁 어려웠는데 손쉽게 맡길수 있어서 편리하고 좋네요,귀찮은 빨래 믿고 맡길수 있는것 같아요 런드리고라는 좋은 서비스 덕에 신발 세탁 어려웠는데 손쉽게 맡길수 있어서 편리하고 좋네요,"['귀', '찮', '은', '빨', '길', '드', '리', '좋다', '은', '비', '덕', '신', '발', '세', '탁', '려', '웠', '손', '게', '길', '편', '리', '좋다']","['귀찮은 빨래 믿고 맡길 수 있는 것 같아요', '런드리고라는 좋은 서비스 덕에 신발 세탁 어려웠는데 손쉽게 맡길 수 있어서 편리하고 좋네요']"
Mssssssrt,2022-07-24 21:58:17-07:00,5,0,세탁업체 유목하다 런드리고로 정착,"두군데 정도 세탁딜리버리를 이용하다 점점 불만이 생겨서 바꾸는 유목하다 런드리고로 드디어 정착을 하게 됬습니다.
수거가 빠르다는점, 세탁이 다음날 돌아온다는 점, 비닐을 다시 수거해간다는점(비닐처리가 꽤나 스트레스 였음), 서비스 대응이 빠르다는점, 세탁이 안되는
부분에 대한 설명이 구체적이라는 점, 셔츠를 많이 맞기는 나에게 맞는 정액제가 있다는 점 등등 저에게 맞는 부분이 많고 쓰면 쓸수록 만족하게 됩니다.","세탁업체 유목하다 런드리고로 정착 두군데 정도 세탁딜리버리를 이용하다 점점 불만이 생겨서 바꾸는 유목하다 런드리고로 드디어 정착을 하게 됬습니다.
수거가 빠르다는점, 세탁이 다음날 돌아온다는 점, 비닐을 다시 수거해간다는점(비닐처리가 꽤나 스트레스 였음), 서비스 대응이 빠르다는점, 세탁이 안되는
부분에 대한 설명이 구체적이라는 점, 셔츠를 많이 맞기는 나에게 맞는 정액제가 있다는 점 등등 저에게 맞는 부분이 많고 쓰면 쓸수록 만족하게 됩니다.","['세', '탁', '업', '체', '유', '목', '다', '드', '리', '정', '착', '두', '정', '도', '세', '탁', '딜', '리', '버', '리', '다', '점', '점', '불', '만', '생', '겨', '바', '유', '목', '다', '드', '리', '드', '디', '정', '착', '게', '습', '니', '다', '빠', '르', '다', '점', '세', '탁', '다', '음', '날', '돌', '온', '다', '점', '비', '닐', '다', '시', '해', '간', '다', '점', '비', '닐', '처', '리', '꽤', '트', '레', '음', '비', '빠', '르', '다', '점', '세', '탁', '부', '분', '설', '명', '체', '적', '점', '츠', '많다', '기', '게', '정', '액', '다', '점', '게', '부', '분', '많다', '면', '록', '만', '족', '게', '니', '다']","['세탁업체 유목하다 런드리 고로 정착 두 군데 정도 세탁 딜리버리를 이용하다 점점 불만이 생겨서 바꾸는 유목하다 런드리 고로 드디어 정착을 하게 됐습니다', '수거가 빠르다는 점 세탁이 다음날 돌아온다는 점 비닐을 다시 수거해간다는 점 비닐 처리가 꽤나 스트레스였음', '서비스 대응이 빠르다는 점 세탁이 안되는 부분에 대한 설명이 구체적이라는 점 셔츠를 많이 맞기는 나에게 맞는 정액제가 있다는 점 등등 저에게 맞는 부분이 많고 쓰면 쓸수록 만족하게 됩니다']"
