userName,date,rating,like,title,review,content
강남오렌지,2022-07-24 20:24:44-07:00,1,0,스마트케어 온도 설정,"기준 온도 직접 설정 27도로 설정해놨는데, 자꾸 희망온도가 28도로 올라감...하..","스마트케어 온도 설정 기준 온도 직접 설정 27도로 설정해놨는데, 자꾸 희망온도가 28도로 올라감...하.."
우주괴에물,2022-07-24 08:08:11-07:00,1,0,TV 연결 안됨,유튜브나 넷플릭스에서는 같은 네트워크일 때 연결하겠습니까 잘 뜨는데 씽큐에서 제품연결하려면 뭔 난리를 쳐도 연결 안됨. 200만원넘게주고산 최신 tv인데 뭔놈의 어플이 연결하나 못해서 등록이 안됨. lg 리모콘 디자인 구린거부터 os느려터진것도 실망이거 다신 안삼,TV 연결 안됨 유튜브나 넷플릭스에서는 같은 네트워크일 때 연결하겠습니까 잘 뜨는데 씽큐에서 제품연결하려면 뭔 난리를 쳐도 연결 안됨. 200만원넘게주고산 최신 tv인데 뭔놈의 어플이 연결하나 못해서 등록이 안됨. lg 리모콘 디자인 구린거부터 os느려터진것도 실망이거 다신 안삼
ㅇ헣ㄹㅇ,2022-07-24 05:57:38-07:00,5,0,굿,엘지 iot 시작,굿 엘지 iot 시작
까암씨,2022-07-23 22:59:15-07:00,5,0,건조기 등록이 너무 어려워 별 4 개요,건조기 등록이 너무 잘안되용. 그래서 4 개 입니다.,건조기 등록이 너무 어려워 별 4 개요 건조기 등록이 너무 잘안되용. 그래서 4 개 입니다.
라이프이즈구웃,2022-07-23 07:35:17-07:00,4,0,백색가전은 엘지,앱으로 가전 제품 관리하기가 용이해요,백색가전은 엘지 앱으로 가전 제품 관리하기가 용이해요
텀블러,2022-07-23 06:04:16-07:00,5,0,굿,굿,굿 굿
때끄,2022-07-22 19:29:30-07:00,5,0,역시 엘지,역시 가전은 엘지 입니다,역시 엘지 역시 가전은 엘지 입니다
뭉구킹,2022-07-22 11:49:22-07:00,1,0,어느순간부터..,어느순간부터 등록한 제품 눌러서 제어화면 들어가면 흰화면에 아무것도 안나옴... 뭐임..,어느순간부터.. 어느순간부터 등록한 제품 눌러서 제어화면 들어가면 흰화면에 아무것도 안나옴... 뭐임..
특수경비원,2022-07-21 18:11:30-07:00,5,0,최고예요! ! !,"충남 서산시 대산읍 화학공단 근처에 살고 있어서 최근 공기가 너무 안 좋은 듯해서, 구입하게 되었습니다.
LG청정기를 가동해 보니, 의외로 주변 공기가 좋다고 나오네요.
그래도, 실내공기는 자주 오염되는 상황이라 제품 받아 설치하자마자 열심히 가동하고 있습니다.
ThinQ 앱으로 편리하게 사용하니 정말 좋아요!","최고예요! ! ! 충남 서산시 대산읍 화학공단 근처에 살고 있어서 최근 공기가 너무 안 좋은 듯해서, 구입하게 되었습니다.
LG청정기를 가동해 보니, 의외로 주변 공기가 좋다고 나오네요.
그래도, 실내공기는 자주 오염되는 상황이라 제품 받아 설치하자마자 열심히 가동하고 있습니다.
ThinQ 앱으로 편리하게 사용하니 정말 좋아요!"
3749591&&,2022-07-21 13:50:40-07:00,3,0,나갔다 들어오면 먹통됩니다.,안드로이드와 달리 iOS에서는 앱 전환시 먹통이 되어 앱 종료 후 재시작이 필요,나갔다 들어오면 먹통됩니다. 안드로이드와 달리 iOS에서는 앱 전환시 먹통이 되어 앱 종료 후 재시작이 필요
꿀ㄹ딱끼리,2022-07-21 08:51:35-07:00,5,0,조아요,Iot시대!,조아요 Iot시대!
joylee3000,2022-07-20 16:28:14-07:00,5,0,스마트진단,"진단기능이 있어 중간점검할 수 있어서
참 좋습니다","스마트진단 진단기능이 있어 중간점검할 수 있어서
참 좋습니다"
아들둘셋,2022-07-20 05:39:11-07:00,5,0,신기해요,스마트전검!? 편하고 신기하네요~~,신기해요 스마트전검!? 편하고 신기하네요~~
다도파파,2022-07-20 04:45:23-07:00,5,0,Good,편리해요,Good 편리해요
cws 0408,2022-07-20 04:36:31-07:00,5,0,스마트진단,오~ 갑사합니다,스마트진단 오~ 갑사합니다
날아라메뚝이,2022-07-19 19:18:56-07:00,5,0,모바일 스피커로 듣기 개선.,"TV 음향을 모바일로 혼자 듣기 하게 되면 
멀티 가능 하게 해주세요. 
항상 그 화면 에서만 소리가 나고 
핸드폰 다른걸 하면 바로 소리가 해제 되면서 안나요. 
이거 완전 꿀 기능 인데 업데이트 부탁 드려요","모바일 스피커로 듣기 개선. TV 음향을 모바일로 혼자 듣기 하게 되면 
멀티 가능 하게 해주세요. 
항상 그 화면 에서만 소리가 나고 
핸드폰 다른걸 하면 바로 소리가 해제 되면서 안나요. 
이거 완전 꿀 기능 인데 업데이트 부탁 드려요"
심계항진,2022-07-19 16:41:24-07:00,1,0,쓸데없이 무거운 어플,"먹통되는 경우도 많음
쓰잘대기없는 기능은 왜 넣어서 짜증나게 하는지
ㅉㅉ","쓸데없이 무거운 어플 먹통되는 경우도 많음
쓰잘대기없는 기능은 왜 넣어서 짜증나게 하는지
ㅉㅉ"
바키타,2022-07-19 05:22:07-07:00,3,0,통살균,"업데이트 이후에 통살균 코치 카운터가 안되네요.
언제쯤 통살균을 해야할지 감으로 해야하는지…","통살균 업데이트 이후에 통살균 코치 카운터가 안되네요.
언제쯤 통살균을 해야할지 감으로 해야하는지…"
한우지성,2022-07-19 04:14:29-07:00,2,0,나름 대기업 어플리케이션아닌가,제품등록하기위해 QR코드찍으려고 하면 먹통이 되네요 번거롭습니다,나름 대기업 어플리케이션아닌가 제품등록하기위해 QR코드찍으려고 하면 먹통이 되네요 번거롭습니다
rachel1079,2022-07-19 02:08:17-07:00,1,0,맨날 서버 연결이 불안하다는데,언제쯤 쓸 수 잇냐고 다운 받은지 일주일 넘었는데 처음 연결할때 빼고 한번도 작동이 안되네요 진짜 빡쳐서 안쓸래여,맨날 서버 연결이 불안하다는데 언제쯤 쓸 수 잇냐고 다운 받은지 일주일 넘었는데 처음 연결할때 빼고 한번도 작동이 안되네요 진짜 빡쳐서 안쓸래여
