userName,date,rating,like,title,review,content,content_n,cotent_n_spell
강남오렌지,2022-07-24 20:24:44-07:00,1,0,스마트케어 온도 설정,"기준 온도 직접 설정 27도로 설정해놨는데, 자꾸 희망온도가 28도로 올라감...하..","스마트케어 온도 설정 기준 온도 직접 설정 27도로 설정해놨는데, 자꾸 희망온도가 28도로 올라감...하..","['스마트', '케어', '온도', '설정', '기준', '온도', '직접', '설정', '도로', '설정', '자꾸', '희망', '온도', '도로', '가다']","['스마트케어 온도 설정 기준 온도 직접 설정 도로 설정해놨는데', '자꾸 희망온도가 도로 올라 감하']"
우주괴에물,2022-07-24 08:08:11-07:00,1,0,TV 연결 안됨,유튜브나 넷플릭스에서는 같은 네트워크일 때 연결하겠습니까 잘 뜨는데 씽큐에서 제품연결하려면 뭔 난리를 쳐도 연결 안됨. 200만원넘게주고산 최신 tv인데 뭔놈의 어플이 연결하나 못해서 등록이 안됨. lg 리모콘 디자인 구린거부터 os느려터진것도 실망이거 다신 안삼,TV 연결 안됨 유튜브나 넷플릭스에서는 같은 네트워크일 때 연결하겠습니까 잘 뜨는데 씽큐에서 제품연결하려면 뭔 난리를 쳐도 연결 안됨. 200만원넘게주고산 최신 tv인데 뭔놈의 어플이 연결하나 못해서 등록이 안됨. lg 리모콘 디자인 구린거부터 os느려터진것도 실망이거 다신 안삼,"['TV', '연결', '유튜브', '넷플릭스', '네트워크', '연결하다', '자다', '뜨다', '씽', '큐', '제품', '연결하다', '난리', '치다', '연결', '만', '원', '넘다', '주다', '산', '최신', 'tv', '놈', '어플', '연결하다', '등록', 'lg', '리모컨', '디자인', '구리다', 'os', '느리다', '터지다', '실망', '다시다']","['TV 연결 안 됨 유튜브나 넷플릭스에서는 같은 네트워크일 때 연결하겠습니까', '잘 뜨는데 씽 큐에서 제품 연결하려면 뭔 난리를 쳐도 연결 안 됨 만 원 넘게 주고 산 최신 tv인데 뭔 놈의 어플이 연결하나 못해서 등록이 안됨', 'lg 리모컨 디자인 구린 거부터 os 느려터진 것도 실망 이거 다신 안 삼']"
ㅇ헣ㄹㅇ,2022-07-24 05:57:38-07:00,5,0,굿,엘지 iot 시작,굿 엘지 iot 시작,"['굿', '엘지', 'iot', '시작']",['굿 엘지 iot 시작']
까암씨,2022-07-23 22:59:15-07:00,5,0,건조기 등록이 너무 어려워 별 4 개요,건조기 등록이 너무 잘안되용. 그래서 4 개 입니다.,건조기 등록이 너무 어려워 별 4 개요 건조기 등록이 너무 잘안되용. 그래서 4 개 입니다.,"['건조기', '등록', '너무', '어렵다', '별', '개요', '건조기', '등록', '너무', '자다', '돼다', '개입', '니']","['건조기 등록이 너무 어려워 별 개요 건조기 등록이 너무 잘 안돼요', '그래서 개입니다']"
라이프이즈구웃,2022-07-23 07:35:17-07:00,4,0,백색가전은 엘지,앱으로 가전 제품 관리하기가 용이해요,백색가전은 엘지 앱으로 가전 제품 관리하기가 용이해요,"['백색', '가전', '엘지', '앱', '가전제품', '관리', '용이하다']",['백색가전은 엘지 앱으로 가전제품 관리하기가 용이해요']
텀블러,2022-07-23 06:04:16-07:00,5,0,굿,굿,굿 굿,"['굿', '굿']",['굿 굿']
때끄,2022-07-22 19:29:30-07:00,5,0,역시 엘지,역시 가전은 엘지 입니다,역시 엘지 역시 가전은 엘지 입니다,"['역시', '엘지', '역시', '가전', '엘지']",['역시 엘지 역시 가전은 엘지입니다']
뭉구킹,2022-07-22 11:49:22-07:00,1,0,어느순간부터..,어느순간부터 등록한 제품 눌러서 제어화면 들어가면 흰화면에 아무것도 안나옴... 뭐임..,어느순간부터.. 어느순간부터 등록한 제품 눌러서 제어화면 들어가면 흰화면에 아무것도 안나옴... 뭐임..,"['순간', '순간', '등록', '제품', '누르다', '제어', '화면', '들어가다', '희다', '화면', '나오다', '뭐임']",['어느 순간부터 어느 순간부터 등록한 제품 눌러서 제어화면 들어가면 흰 화면에 아무것도 안 나옴 뭐임']
특수경비원,2022-07-21 18:11:30-07:00,5,0,최고예요! ! !,"충남 서산시 대산읍 화학공단 근처에 살고 있어서 최근 공기가 너무 안 좋은 듯해서, 구입하게 되었습니다.
LG청정기를 가동해 보니, 의외로 주변 공기가 좋다고 나오네요.
그래도, 실내공기는 자주 오염되는 상황이라 제품 받아 설치하자마자 열심히 가동하고 있습니다.
ThinQ 앱으로 편리하게 사용하니 정말 좋아요!","최고예요! ! ! 충남 서산시 대산읍 화학공단 근처에 살고 있어서 최근 공기가 너무 안 좋은 듯해서, 구입하게 되었습니다.
LG청정기를 가동해 보니, 의외로 주변 공기가 좋다고 나오네요.
그래도, 실내공기는 자주 오염되는 상황이라 제품 받아 설치하자마자 열심히 가동하고 있습니다.
ThinQ 앱으로 편리하게 사용하니 정말 좋아요!","['최고', '충남', '서산시', '대산읍', '화학', '공단', '근처', '살', '최근', '공기', '너무', '좋다', '구입', '되어다', 'LG', '청정기', '가동', '보다', '의외로', '주변', '공기', '좋다', '나오다', '실내', '공기', '자주', '오염', '상황', '제품', '받다', '설치다', '열심히', '가동', 'ThinQ', '앱', '편리하다', '사용', '정말', '좋다']","['최고예요', '충남 서산시 대산읍 화학공단 근처에 살고 있어서 최근 공기가 너무 안 좋은 듯해서 구입하게 되었습니다', 'LG 청정기를 가동해 보니 의외로 주변 공기가 좋다고 나오네요', '그래도 실내공기는 자주 오염되는 상황이라 제품 받아 설치하자마자 열심히 가동하고 있습니다', 'ThinQ 앱으로 편리하게 사용하니 정말 좋아요']"
3749591&&,2022-07-21 13:50:40-07:00,3,0,나갔다 들어오면 먹통됩니다.,안드로이드와 달리 iOS에서는 앱 전환시 먹통이 되어 앱 종료 후 재시작이 필요,나갔다 들어오면 먹통됩니다. 안드로이드와 달리 iOS에서는 앱 전환시 먹통이 되어 앱 종료 후 재시작이 필요,"['나가다', '들어오다', '먹통', '안드로이드', '달리', 'iOS', '앱', '전환', '시', '먹통', '되어다', '앱', '종료', '재', '시작', '필요']","['나갔다 들어오면 먹통 됩니다', '안드로이드와 달리 iOS에서는 앱 전환 시 먹통이 되어 앱 종료 후 재시작이 필요']"
