,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20210708,2021,07,08,3,Sangik Cho,"최근 구입한 물걸래 로봇청소기는 잘 연결되지만, 오래된 유준상 로봇청소기는 연결되지 않습니다. 이 앱 나오면서 잘 쓰던 전용앱이 없어졌는데, 신규앱에서는 계속 연결 진행 중인 상태로 진행이 더 이상 안 되네요. 구형 모델에서도 제대로 작동될 수 있도록해주기 바랍니다."
1,2,20200828,2020,08,28,5,김인성,"안녕하세요? lw2217ivsm 창문형 에어컨을 직구해서 한국에서 쓰고 있는데 한국 구글플레이스토어의 lg thinq 앱에는 창문형에어컨 항목이 없습니다. 이동형에어컨 항목을 선택해 진행하면 와이파이 연결된 후 ""지원 안 되는 제품""이라고 뜨네요. 사용 가능한 방법을 알려 주시면 감사하겠습니다. ⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀ ⠀⠀ ⠀ 친철하고 자세한 설명에 감사드립니다. 덕분에 설정해서 잘 쓰고 있습니다.^^"
2,3,20220713,2022,07,13,2,D Jay,"한달쯤전부터 앱이 홈화면에서 새로고침(?)을 안함. 분명 에어컨을 켜고 온도조절을 했는데 막상 홈화면엔 off로 나와있기도 하고, 눌러서 상세히 보면 이미 실내온도는 설정온도 수준으로 내려와있지만 홈화면엔 아직도 30도임. 그리고 에어컨 눌러서 들어가는 상세페이지에서도 온도나 습도는 홈화면으로 한번 다녀오지 않으면 처음 작동 시 30도, 56%에서 갱신을 안함. 이러다보니 앱을 백그라운드에서도 완전종료하고 다시 켜는 일이 다반사. 에어컨도 시스템에어컨이라 총 4대 관리하는데 매우 불편함. 그냥 리모콘 쓰는게 낫겠다 싶어 엊그제 리모콘 꺼냄."
3,4,20220723,2022,07,23,1,BH C,UP가전 기능 되지도 않고 오류 투성인데 미리 홍보부터 한것같응. 공기청정기 사고 업가전 기능쓰려고 어플깔고 했더니 공청기계 전원끄고 5분 지나서 업글 사용하라는 메세지만 계속 뜨고 수십번 시도 해도 되지 않음. 고객센터에 전화했더니 기술상담원이 하는말이.. 오류가 있어서 요즘 고객 클레임이 많다고 프로그램 오류이니 이해해 달라고..... 헐..
4,5,20220716,2022,07,16,1,정다니엘,정수기 소리설정 끄기가 안돼요.. '네트워크 불안정' 오류뜨는데.. 와이파이 멀쩡히 잘되는데 소리설정만 왜안되는지.. 소리를 뭐이리 크게 해놧어요 바로앞에서만 들리면되지않나요? 타사정수기는 버튼 3초누르면 끄는 기능도있는데 lg는 그런것도없고.. lg 띵큐가 삼성보다 잘안되네요 삼성도 잘안되는데..
5,6,20220706,2022,07,06,5,정문호,바로 답변주셔서 감사합니다!! 해결되었어요!! 메뉴>가전에너지모니터링과 서로 연동되는 버튼이 있거나 하나로 통일되면 좋겠어요! -이전글----------------------------------- 업데이트 이후 가전 에너지 모니터링 결과가 일일 단위로 확인/비교 불가하고 월 누적값만 보여주니 사용패턴에 따라 어떻게 절약해야할지 확인이 불가해져버렸네요ㅠㅠㅠ 예전처럼 실시간 및 일일 비교 가능하게 개선해주세요!
6,7,20220709,2022,07,09,1,Yunsu Kim,"이 어플 사용하면서 플로팅 아이콘? 이란게 폰 화면에 또다시 설치되었는데요, 화면에서 이리저리 옮길수있고 화면 사이드로 밀면 숨겨지기도,하는데 눌러도 아무런 동작도 없고 어플내에서 삭제하는 방법도 찾을수가 없네요. 이 플로팅 아이콘? 은 앱을 삭제하면 다같이 삭제 되나요? 삭제하고 집안기기들 다시 연결할 생각하니 머리가 아픕니다. 플로팅 아이콘?어찌하다 설치한 제 잘못이지만 이건 도데체 왜 만드신건지. 동작도 안되는걸... 삭제 방법 좀 알려주세요"
7,8,20220708,2022,07,08,4,DEUX Temps,벽걸이 에어컨과 스탠딩 에어컨 그리고 세탁기 스타일러에 적용하는데 다른 건 다되는데 벽걸이 에어컨은 와이파이가 잡히지 않습니다. 리모컨에는 분명 3초 와이파이 표시가 있는데 안잡히네요. 그외에는 만족이고 세탁기도 원격제어 안눌러도 켤 수 있으면 좋겠습니다
8,9,20220603,2022,06,03,2,공공,시스템에어컨 1시간 뒤에 꺼지게 '끄기' 예약을 설정했는데 꺼지기는 커녕 풀로 새벽내내 돌아갔네요. 다른건 만족하는데 이런 예약 관련 기능에서 문제가 잦아요. 한번 이러면 내가 실수했겠거니 할텐데 일주일 사이에 3번이나 이러니까... 앱에 나름 만족하면서 사용하고 있기는 한데 잊을만하면 생기는 오류는 한번 손을 봐주셨으면 좋겠어요.
9,10,20220618,2022,06,18,1,박한길,몇년전부터 지속적으로 에어컨에 와이파이 연결 및 thinq 앱 연결이 자주 끊어져서 iot자동화 및 해당 앱에 제어 기능을 사용할수없습니다. 최근 올해 사용 시에는 그 빈도가 더 많아져 즉 연결이 끊어진빈도가많아 해당기능은 사용 불가 수준입니다. 고객 센터 답변은 서버 문제다 또는 업가전 관련문제다라고 하는데 다른 LG제품에는 특이사항이없습니다. LG의 조치뿐만 아니라 적절한 답을 주지않네요. 내부적으로는 문제를 알고있을텐데 피일차일 지연하며 답변을 제대로 안주는데 너무하네요. 문제가있다면 그 문제를 고객에게 알리고 그 후 대응내용을 알려주셔야 고객의 피해가 더 없지않을까요? 이게 덮는다고 덮힐문제인가요? 제발 신뢰를 더 잃지마시고 내부의 상황을 제대로 고객에게 알려주세요 리뷰가 여러개는 작성이 안되네요. 내부에서 서버관련 이슈가있었는데 왜 공지도 안하셨나요? 수많은 사람이 어려움을 겪고있는데 너무하시네요. 한 이틀 잘되는가 싶었는데... 참...
