Unnamed: 0,id,date,dateYear,dateMonth,dateDay,rating,userName,content,content_n,cotent_n_spell
0,1,20210708,2021,7,8,3,Sangik Cho,"최근 구입한 물걸래 로봇청소기는 잘 연결되지만, 오래된 유준상 로봇청소기는 연결되지 않습니다. 이 앱 나오면서 잘 쓰던 전용앱이 없어졌는데, 신규앱에서는 계속 연결 진행 중인 상태로 진행이 더 이상 안 되네요. 구형 모델에서도 제대로 작동될 수 있도록해주기 바랍니다.","['최근', '구입', '물', '걸', '로봇청소기', '자다', '연결', '오래되다', '유준상', '로봇청소기', '연결', '않다', '앱', '나오다', '자다', '쓰다', '전용', '앱', '없어지다', '신규', '앱', '계속', '연결', '진행', '중인', '상태', '진행', '더', '구형', '모델', '제대로', '작동', '해주다', '바라다']","['최근 구입한 물 걸래 로봇청소기는 잘 연결되지만 오래된 유준상 로봇청소기는 연결되지 않습니다', '이 앱 나오면서 잘 쓰던 전용 앱이 없어졌는데 신규 앱에서는 계속 연결 진행 중인 상태로 진행이 더 이상 안 되네요 구형 모델에서도 제대로 작동될 수 있도록 해주기 바랍니다']"
1,2,20200828,2020,8,28,5,김인성,"안녕하세요? lw2217ivsm 창문형 에어컨을 직구해서 한국에서 쓰고 있는데 한국 구글플레이스토어의 lg thinq 앱에는 창문형에어컨 항목이 없습니다. 이동형에어컨 항목을 선택해 진행하면 와이파이 연결된 후 ""지원 안 되는 제품""이라고 뜨네요. 사용 가능한 방법을 알려 주시면 감사하겠습니다. ⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀ ⠀⠀ ⠀ 친철하고 자세한 설명에 감사드립니다. 덕분에 설정해서 잘 쓰고 있습니다.^^","['안녕하다', 'lwivsm', '창문', '에어컨', '직구', '한국', '쓰다', '한국', '구글플레이', '스토어', 'lg', 'thinq', '앱', '창문', '에어컨', '항목', '이동형', '에어컨', '항목', '선택', '진행', '와이파이', '연결', '지원', '제품', '뜨다', '사용', '가능하다', '방법', '알다', '주시', '감사하다', '친절하다', '자세하다', '설명', '감사', '드리다', '덕분', '설정', '자다', '쓰다']","['안녕하세요', 'lwivsm 창문형 에어컨을 직구해서 한국에서 쓰고 있는데 한국 구글플레이스토어의 lg thinq 앱에는 창문형 에어컨 항목이 없습니다', '이동형 에어컨 항목을 선택해 진행하면 와이파이 연결된 후 지원 안 되는 제품이라고 뜨네요 사용 가능한 방법을 알려 주시면 감사하겠습니다', '친절하고 자세한 설명에 감사드립니다 덕분에 설정해서 잘 쓰고 있습니다']"
2,3,20220713,2022,7,13,2,D Jay,"한달쯤전부터 앱이 홈화면에서 새로고침(?)을 안함. 분명 에어컨을 켜고 온도조절을 했는데 막상 홈화면엔 off로 나와있기도 하고, 눌러서 상세히 보면 이미 실내온도는 설정온도 수준으로 내려와있지만 홈화면엔 아직도 30도임. 그리고 에어컨 눌러서 들어가는 상세페이지에서도 온도나 습도는 홈화면으로 한번 다녀오지 않으면 처음 작동 시 30도, 56%에서 갱신을 안함. 이러다보니 앱을 백그라운드에서도 완전종료하고 다시 켜는 일이 다반사. 에어컨도 시스템에어컨이라 총 4대 관리하는데 매우 불편함. 그냥 리모콘 쓰는게 낫겠다 싶어 엊그제 리모콘 꺼냄.","['달', '전', '앱', '홈', '화면', '새롭다', '고치다', '함', '분명', '에어컨', '켜다', '온도', '조절', '막상', '홈', '화면', 'off', '나오다', '기도', '누르다', '상세', '히', '보다', '이미', '실내', '온도', '설정', '온도', '수준', '내려오다', '홈', '화면', '아직도', '도임', '에어컨', '누르다', '들어가다', '상세', '페이지', '온도', '습도', '홈', '화면', '한번', '다녀오다', '않다', '처음', '작동', '시', '도', '갱신', '함', '이르다', '보다', '앱', '라운드', '정말', '종료', '다시', '켜다', '다반사', '에어컨', '시스템', '에어컨', '총', '대다', '관리', '매우', '불편하다', '그냥', '리모컨', '쓰다', '게', '낫다', '싶다', '엊그제', '리모컨', '꺼내다']",['한 달쯤 전부터 앱이 홈 화면에서 새로 고침을 안 함 분명 에어컨을 켜고 온도조절을 했는데 막상 홈 화면엔 off로 나와있기도 하고 눌러서 상세히 보면 이미 실내 온도는 설정온도 수준으로 내려와있지만 홈 화면엔 아직도 도임 그리고 에어컨 눌러서 들어가는 상세페이지에서도 온도나 습도는 홈 화면으로 한번 다녀오지 않으면 처음 작동 시 도에서 갱신을 안 함 이러다 보니 앱을 백그라운드에서도 정말 종료하고 다시 켜는 일이 다반사 에어컨도 시스템에어컨이라 총 대 관리하는데 매우 불편함 그냥 리모컨 쓰는 게 낫겠다 싶어 엊그제 리모컨 꺼냄']
3,4,20220723,2022,7,23,1,BH C,UP가전 기능 되지도 않고 오류 투성인데 미리 홍보부터 한것같응. 공기청정기 사고 업가전 기능쓰려고 어플깔고 했더니 공청기계 전원끄고 5분 지나서 업글 사용하라는 메세지만 계속 뜨고 수십번 시도 해도 되지 않음. 고객센터에 전화했더니 기술상담원이 하는말이.. 오류가 있어서 요즘 고객 클레임이 많다고 프로그램 오류이니 이해해 달라고..... 헐..,"['UP', '가다', '전', '기능', '않다', '오류', '투', '미리', '홍보', '공기청정기', '사고', '어가', '전', '기능', '쓰다', '어플', '깔다', '청', '기계', '전원', '끄다', '분', '지나다', '업글', '사용', '메시지', '계속', '뜨다', '수십', '시도', '않다', '고객', '센터', '전화하다', '기술', '상담', '말', '오류', '요즘', '고객', '클레', '임', '많다', '프로그램', '오류', '이해해', '달라', '헐다']",['UP가 전 기능 되지도 않고 오류투성인데 미리 홍보부터 한 것 같은 공기청정기 사고 어가 전 기능 쓰려고 어플 깔고 했더니 공청 기계 전원 끄고 분 지나서 업글 사용하라는 메시지만 계속 뜨고 수십 번 시도해도 되지 않음 고객센터에 전화했더니 기술상담원이 하는 말이 오류가 있어서 요즘 고객 클레임이 많다고 프로그램 오류이니 이해해 달라고 헐']
4,5,20220716,2022,7,16,1,정다니엘,정수기 소리설정 끄기가 안돼요.. '네트워크 불안정' 오류뜨는데.. 와이파이 멀쩡히 잘되는데 소리설정만 왜안되는지.. 소리를 뭐이리 크게 해놧어요 바로앞에서만 들리면되지않나요? 타사정수기는 버튼 3초누르면 끄는 기능도있는데 lg는 그런것도없고.. lg 띵큐가 삼성보다 잘안되네요 삼성도 잘안되는데..,"['정수기', '소리', '설정', '끄다', '기', '돼다', '네트워크', '불', '안정', '오류', '뜨다', '와이파이', '멀쩡하다', '자다', '소리', '설정', '소리', '뭐', '이리', '크게', '앞', '들리다', '않다', '타', '사정', '수기', '버튼', '초', '누르다', '끄다', '기능', 'lg', '늘다', '그렇다', 'lg', '땡큐', '삼성', '자다', '삼성', '자다']",['정수기 소리 설정 끄기가 안돼요 네트워크 불안정 오류 뜨는데 와이파이 멀쩡히 잘 되는데 소리 설정만 왜 안되는지 소리를 뭐 이리 크게 해놨어요 바로 앞에서만 들리면 되지 않나요 타 사정 수기는 버튼 초 누르면 끄는 기능도 있는데 lg는 그런 것도 없고 lg 땡큐가 삼성보다 잘 안되네요 삼성도 잘 안되는데']
5,6,20220706,2022,7,6,5,정문호,바로 답변주셔서 감사합니다!! 해결되었어요!! 메뉴>가전에너지모니터링과 서로 연동되는 버튼이 있거나 하나로 통일되면 좋겠어요! -이전글----------------------------------- 업데이트 이후 가전 에너지 모니터링 결과가 일일 단위로 확인/비교 불가하고 월 누적값만 보여주니 사용패턴에 따라 어떻게 절약해야할지 확인이 불가해져버렸네요ㅠㅠㅠ 예전처럼 실시간 및 일일 비교 가능하게 개선해주세요!,"['답변', '주다', '감사하다', '해결', '되어다', '메뉴', '전', '에너지', '모니터링', '서로', '연동', '버튼', '하나로', '통일', '좋다', '이전', '글', '업데이트', '이후', '가전', '에너지', '모니터링', '결과', '일일', '단위', '확인', '비교', '불가하다', '누적', '값', '보여주다', '사용', '패턴', '따르다', '어떻다', '절약', '확인', '불가하다', '버리다', '예전', '실시간', '일일', '비교', '가능하다', '개선', '해주다']","['바로 답변 주셔서 감사합니다', '해결되었어요', '메뉴가 전 에너지 모니터링과 서로 연동되는 버튼이 있거나 하나로 통일되면 좋겠어요', '이전 글 업데이트 이후 가전 에너지 모니터링 결과가 일일 단위로 확인 비교 불가하고 월 누적값만 보여주니 사용 패턴에 따라 어떻게 절약해야 할지 확인이 불가해져버렸네요', '예전처럼 실시간 및 일일 비교 가능하게 개선해주세요']"
6,7,20220709,2022,7,9,1,Yunsu Kim,"이 어플 사용하면서 플로팅 아이콘? 이란게 폰 화면에 또다시 설치되었는데요, 화면에서 이리저리 옮길수있고 화면 사이드로 밀면 숨겨지기도,하는데 눌러도 아무런 동작도 없고 어플내에서 삭제하는 방법도 찾을수가 없네요. 이 플로팅 아이콘? 은 앱을 삭제하면 다같이 삭제 되나요? 삭제하고 집안기기들 다시 연결할 생각하니 머리가 아픕니다. 플로팅 아이콘?어찌하다 설치한 제 잘못이지만 이건 도데체 왜 만드신건지. 동작도 안되는걸... 삭제 방법 좀 알려주세요","['어플', '사용', '플로', '팅', '아이콘', '이란', '게', '폰', '화면', '또다시', '설치', '되어다', '화면', '이리저리', '옮기다', '화면', '사이드', '밀면', '숨기다', '기도', '누르다', '아무렇다', '동작', '어플', '내', '삭제', '방법', '찾다', '수가', '플로', '팅', '아이콘', '은', '앱', '삭제', '다', '삭제', '삭제', '집안', '기기', '다시', '연결하다', '생각', '머리', '아프다', '플로', '팅', '아이콘', '설치', '잘못', '이건', '도대체', '만들다', '건지다', '동작', '걸', '삭제', '방법', '알다']","['이 어플 사용하면서 플로팅 아이콘 이란 게 폰 화면에 또다시 설치되었는데요', '화면에서 이리저리 옮길 수 있고 화면 사이드로 밀면 숨겨지기도 하는데 눌러도 아무런 동작도 없고 어플 내에서 삭제하는 방법도 찾을 수가 없네요', '이 플로팅 아이콘 은 앱을 삭제하면 다 같이 삭제되나요 삭제하고 집안 기기들 다시 연결할 생각하니 머리가 아픕니다', '플로팅 아이콘 어찌하다 설치한 제 잘못이지만 이건 도대체 왜 만드신 건지 동작도 안되는 걸 삭제 방법 좀 알려주세요']"
7,8,20220708,2022,7,8,4,DEUX Temps,벽걸이 에어컨과 스탠딩 에어컨 그리고 세탁기 스타일러에 적용하는데 다른 건 다되는데 벽걸이 에어컨은 와이파이가 잡히지 않습니다. 리모컨에는 분명 3초 와이파이 표시가 있는데 안잡히네요. 그외에는 만족이고 세탁기도 원격제어 안눌러도 켤 수 있으면 좋겠습니다,"['벽', '걸이', '에어컨', '스탠딩', '에어컨', '세탁기', '스타', '이르다', '적용', '다', '벽', '걸이', '에어컨', '와이파이', '잡히다', '않다', '리모컨', '분명', '초', '와이파이', '표시', '잡히다', '외', '만족', '세탁기', '격', '제어', '누르다', '켜다', '좋다']","['벽걸이 에어컨과 스탠딩 에어컨 그리고 세탁기 스타일러에 적용하는데 다른 건 다 되는데 벽걸이 에어컨은 와이파이가 잡히지 않습니다', '리모컨에는 분명 초 와이파이 표시가 있는데 안 잡히네요', '그 외에는 만족이고 세탁기도 원격제어 안 눌러도 켤 수 있으면 좋겠습니다']"
8,9,20220603,2022,6,3,2,공공,시스템에어컨 1시간 뒤에 꺼지게 '끄기' 예약을 설정했는데 꺼지기는 커녕 풀로 새벽내내 돌아갔네요. 다른건 만족하는데 이런 예약 관련 기능에서 문제가 잦아요. 한번 이러면 내가 실수했겠거니 할텐데 일주일 사이에 3번이나 이러니까... 앱에 나름 만족하면서 사용하고 있기는 한데 잊을만하면 생기는 오류는 한번 손을 봐주셨으면 좋겠어요.,"['시스템', '에어컨', '뒤', '꺼지다', '끄다', '예약', '설정', '끄다', '지기', '풀', '새벽', '내내', '돌아가다', '만족하다', '이렇다', '예약', '관련', '기능', '문제', '잦다', '한번', '이르다', '내', '실수', '일주일', '사이', '앱', '나름', '만족하다', '사용', '잊다', '만하', '생기다', '오류', '한번', '손', '보다', '좋다']","['시스템에어컨 시간 뒤에 꺼지게 끄기 예약을 설정했는데 꺼지기는커녕 풀로 새벽 내내 돌아갔네요', '다른 건 만족하는데 이런 예약 관련 기능에서 문제가 잦아요', '한번 이러면 내가 실수했겠거니 할 텐데 일주일 사이에 번이나 이러니까 앱에 나름 만족하면서 사용하고 있기는 한데 잊을만하면 생기는 오류는 한번 손을 봐주셨으면 좋겠어요']"
9,10,20220618,2022,6,18,1,박한길,몇년전부터 지속적으로 에어컨에 와이파이 연결 및 thinq 앱 연결이 자주 끊어져서 iot자동화 및 해당 앱에 제어 기능을 사용할수없습니다. 최근 올해 사용 시에는 그 빈도가 더 많아져 즉 연결이 끊어진빈도가많아 해당기능은 사용 불가 수준입니다. 고객 센터 답변은 서버 문제다 또는 업가전 관련문제다라고 하는데 다른 LG제품에는 특이사항이없습니다. LG의 조치뿐만 아니라 적절한 답을 주지않네요. 내부적으로는 문제를 알고있을텐데 피일차일 지연하며 답변을 제대로 안주는데 너무하네요. 문제가있다면 그 문제를 고객에게 알리고 그 후 대응내용을 알려주셔야 고객의 피해가 더 없지않을까요? 이게 덮는다고 덮힐문제인가요? 제발 신뢰를 더 잃지마시고 내부의 상황을 제대로 고객에게 알려주세요 리뷰가 여러개는 작성이 안되네요. 내부에서 서버관련 이슈가있었는데 왜 공지도 안하셨나요? 수많은 사람이 어려움을 겪고있는데 너무하시네요. 한 이틀 잘되는가 싶었는데... 참...,"['전', '지속', '에어컨', '와이파이', '연결', 'thinq', '앱', '연결', '자주', '끊어지다', 'iot', '자동화', '해당', '앱', '제어', '기능', '사용', '최근', '올해', '사용', '시', '빈도', '더', '많아지다', '연결', '끊어지다', '빈도', '많다', '해당', '기능', '사용', '불가', '수준', '고객', '센터', '답변', '서버', '문제', '또는', '어가', '전', '관련', '문제', 'LG', '제품', '특이', '사항', 'LG', '조치', '아니다', '적절하다', '답', '주지', '않다', '부적', '문제', '알', '피일', '차일', '지연', '답변', '제대로', '주다', '너무하다', '문제', '문제', '고객', '알리', '대응', '내용', '알다', '고객', '피해', '더', '않다', '덮다', '덮이다', '문제', '제발', '신뢰', '더', '잃다', '말다', '내부', '상황', '제대로', '고객', '알다', '리뷰', '여러', '개다', '작성', '내부', '서버', '관련', '이슈', '공지', '수많다', '사람', '어려움', '겪다', '너무하다', '이틀', '자다', '싶다', '차다']","['몇 년 전부터 지속적으로 에어컨에 와이파이 연결 및 thinq 앱 연결이 자주 끊어져서 iot 자동화 및 해당 앱에 제어 기능을 사용할 수 없습니다', '최근 올해 사용 시에는 그 빈도가 더 많아져 즉 연결이 끊어진 빈도가 많아 해당 기능은 사용 불가 수준입니다', '고객 센터 답변은 서버 문제다 또는 어가 전 관련 문제라고 하는데 다른 LG 제품에는 특이사항이 없습니다', 'LG의 조치뿐만 아니라 적절한 답을 주지 않네요', '내부적으로는 문제를 알고 있을 텐데 피일 차일 지연하며 답변을 제대로 안 주는데 너무하네요 문제가 있다면 그 문제를 고객에게 알리고 그 후 대응 내용을 알려주셔야 고객의 피해가 더 없지 않을까요', '이게 덮는다고 덮일 문제인가요 제발 신뢰를 더 잃지 마시고 내부의 상황을 제대로 고객에게 알려주세요', '리뷰가 여러 개는 작성이 안되네요 내부에서 서버 관련 이슈가 있었는데 왜 공지도 안 하셨나요', '수많은 사람이 어려움을 겪고 있는데 너무하시네요', '한 이틀 잘 되는가 싶었는데 참']"
10,11,20220704,2022,7,4,1,Kwangyong Park,에어컨 와이파이 연결해 보려다 혈압으로 병원부터 갈거 같네요. 애써 스마트폰 두대를 준비까지해서 등록해도 네트워크가 뜨지도 않아서 변경도 안되고 어플리케이션 개발 및 유지보수는 돈주고 하는거 맞죠? 맞는거죠? 할말은 많지만 공간이 충분해도 적지는 않겠습니다.,"['에어컨', '와이파이', '연결하다', '보다', '혈압', '병원', '갈다', '애쓰다', '스마트폰', '두', '대다', '준비', '등록', '네트워크', '뜨다', '않다', '변경', '애플리케이션', '개발', '유지', '보수', '돈', '주다', '맞다', '맞다', '말', '많다', '공간', '충분하다', '적지', '않다']","['에어컨 와이파이 연결해 보려다 혈압으로 병원부터 갈 거 같네요 애써 스마트폰 두 대를 준비까지 해서 등록해도 네트워크가 뜨지도 않아서 변경도 안되고 애플리케이션 개발 및 유지 보수는 돈 주고 하는 거 맞죠', '맞는 거죠', '할 말은 많지만 공간이 충분해도 적지는 않겠습니다']"
