,Text,Label,text_tokenized,text_tokenized2
0,아내가 드디어 출산하게 되어서 정말 신이 나.,기쁨,"['아내', '드디어', '출산', '하다', '되어다', '정말', '신', '나']","['아내', '드디어', '출산', '정말', '신']"
1,당뇨랑 합병증 때문에 먹어야 할 약이 열 가지가 넘어가니까 스트레스야.,불안,"['당뇨', '합병증', '때문', '먹다', '하다', '약', '열', '가지', '넘어가다', '스트레스']","['당뇨', '합병증', '때문', '먹다', '약', '열', '가지', '넘어가다', '스트레스']"
2,고등학교에 올라오니 중학교 때보다 수업이 갑자기 어려워져서 당황스러워.,당황,"['고등학교', '올라오다', '중학교', '때', '수업', '갑자기', '어려워지다', '당황', '스럽다']","['고등학교', '올라오다', '중학교', '수업', '갑자기', '어려워지다', '당황', '스럽다']"
3,재취업이 돼서 받게 된 첫 월급으로 온 가족이 외식을 할 예정이야. 너무 행복해.,기쁨,"['재', '취업', '돼다', '받다', '되다', '첫', '월급', '온', '가족', '외식', '하다', '예정', '너무', '행복하다']","['취업', '받다', '첫', '월급', '가족', '외식', '예정', '행복하다']"
4,빚을 드디어 다 갚게 되어서 이제야 안도감이 들어.,기쁨,"['빚', '드디어', '다', '갚다', '되어다', '이제야', '안도', '감', '들다']","['빚', '드디어', '갚다', '이제야', '안도', '감', '들다']"
5,이제 곧 은퇴할 시기가 되었어. 내가 먼저 은퇴를 하고 육 개월 후에 남편도 은퇴를 하고. 그러면 둘이 하루 종일 함께 있겠네. 생각만 해도 숨이 막혀.,불안,"['이제', '곧', '은퇴', '하다', '시기', '되어다', '내', '먼저', '은퇴', '하다', '육', '개월', '후', '남편', '은퇴', '하다', '그러면', '둘', '하루', '종일', '함께', '있다', '생각', '해도', '숨', '막히다']","['이제', '은퇴', '시기', '먼저', '은퇴', '개월', '남편', '은퇴', '하루', '종일', '생각', '숨', '막히다']"
6,사십 대에 접어들면서 머리카락이 많이 빠져 고민이야.,슬픔,"['사다', '대다', '접다', '들다', '머리카락', '많이', '빠지다', '고민']","['사다', '대다', '접다', '들다', '머리카락', '많이', '빠지다', '고민']"
7,이제 돈이라면 지긋지긋해.,분노,"['이제', '돈', '라면', '지긋지긋하다']","['이제', '돈', '라면', '지긋지긋하다']"
8,친구들이 나를 괴롭혀. 부모님과 선생님께 얘기했는데도 믿어주지 않아.,분노,"['친구', '나르다', '괴롭히다', '부모님', '선생님', '얘기', '하다', '믿다', '않다']","['친구', '나르다', '괴롭히다', '부모님', '선생님', '얘기', '믿다', '않다']"
9,친구 때문에 눈물 나.,슬픔,"['친구', '때문', '눈물', '나']","['친구', '때문', '눈물']"
10,새로 간 치과에서 조금 썩기만 한 이를 임플란트를 하라고 했어. 과잉진료는 안 한다더니.,상처,"['새롭다', '간', '치과', '조금', '썩다', '하다', '이르다', '임플란트', '하라', '하다', '과잉', '진료', '안', '하다']","['새롭다', '간', '치과', '썩다', '이르다', '임플란트', '과잉', '진료']"
11,오늘 선생님이 나보고 앞에 나와 문제를 풀어보라고 했는데 답을 외워서 문제를 풀었어.,당황,"['오늘', '선생님', '나', '보고', '앞', '나오다', '문제', '풀다', '보라', '하다', '답', '외우다', '문제', '풀다']","['오늘', '선생님', '보고', '나오다', '문제', '풀다', '보라', '답', '외우다', '문제', '풀다']"
12,내가 무능해서 자기가 좋은 대학에 못 들어갔다는 딸의 말을 듣고 괴로워.,당황,"['내', '무능하다', '자기', '좋다', '대학', '못', '들어가다', '딸', '말', '듣다', '괴롭다']","['무능하다', '좋다', '대학', '들어가다', '딸', '말', '듣다', '괴롭다']"
